,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school,assign_from_var_id_healthcare,assign_to_var_id_healthcare,assign_from_node_id_healthcare,assign_to_node_id_healthcare,assign_type_healthcare,dist_healthcare,0_assign_from_var_id_restaurant,0_assign_to_var_id_restaurant,0_assign_from_node_id_restaurant,0_assign_to_node_id_restaurant,0_assign_type_restaurant,0_dist_restaurant,1_assign_from_var_id_restaurant,1_assign_to_var_id_restaurant,1_assign_from_node_id_restaurant,1_assign_to_node_id_restaurant,1_assign_type_restaurant,1_dist_restaurant
36,36,26,41,132,existing,1923.6417273363757,36,26,41,73,existing,435.23300594124237,36,26,41,20,allocated,13.496724656689658,36,28,41,131,existing,1754.143555427853,36,27,41,131,existing,1754.143555427853
37,37,26,42,132,existing,2076.576654997332,37,26,42,121,existing,1113.6815627279825,37,26,42,20,allocated,842.1120883690427,37,28,42,131,existing,1907.0784830888092,37,27,42,131,existing,1907.0784830888092
38,38,26,43,132,existing,2162.518765900989,38,26,43,121,existing,1199.6236736316396,38,26,43,20,allocated,928.0541992726999,38,28,43,131,existing,1993.0205939924663,38,27,43,131,existing,1993.0205939924663
39,39,26,48,132,existing,1660.3539191019938,39,26,48,73,existing,169.11055311433017,39,26,48,73,allocated,169.11055311433017,39,28,48,131,existing,1691.7235848824087,39,27,48,131,existing,1691.7235848824087
40,40,26,49,132,existing,1519.9270672127454,40,26,49,73,existing,279.044431741013,40,26,49,54,allocated,160.18758503738997,40,28,49,131,existing,1640.359867805235,40,27,49,131,existing,1640.359867805235
41,41,26,50,132,existing,1754.34195369343,41,26,50,73,existing,263.09858770576625,41,26,50,20,allocated,192.2767021313291,41,28,50,131,existing,1612.5412301871884,41,27,50,131,existing,1612.5412301871884
42,42,26,53,132,existing,1590.964091923021,42,26,53,73,existing,38.54071866719836,42,26,53,73,allocated,38.54071866719836,42,28,53,131,existing,1561.1537504352768,42,27,53,131,existing,1561.1537504352768
43,43,26,55,132,existing,1580.5413414022096,43,26,55,73,existing,89.29797541454573,43,26,55,73,allocated,89.29797541454573,43,28,55,131,existing,1611.9110071826242,43,27,55,131,existing,1611.9110071826242
44,44,26,56,132,existing,1463.391522281029,44,26,56,121,existing,221.00537735316686,44,26,56,121,allocated,221.00537735316686,44,28,56,131,existing,1293.8933503725063,44,27,56,131,existing,1293.8933503725063
45,45,26,57,132,existing,1548.2652575476568,45,26,57,121,existing,305.87911261979457,45,26,57,121,allocated,305.87911261979457,45,28,57,131,existing,1378.7670856391342,45,27,57,131,existing,1378.7670856391342
46,46,26,58,132,existing,1910.4480369349883,46,26,58,73,existing,860.8384007139548,46,26,58,20,allocated,412.10867011602284,46,28,58,131,existing,1740.9498650264657,46,27,58,131,existing,1740.9498650264657
47,47,26,59,132,existing,1621.8871642333975,47,26,59,121,existing,623.8767199815331,47,26,59,196,allocated,118.60747565908517,47,28,59,131,existing,1452.3889923248748,47,27,59,131,existing,1452.3889923248748
48,48,26,60,132,existing,1638.2391153086737,48,26,60,121,existing,614.5064545008672,48,26,60,196,allocated,140.95276520591483,48,28,60,131,existing,1468.740943400151,48,27,60,131,existing,1468.740943400151
49,49,26,61,132,existing,1824.268592677644,49,26,61,121,existing,800.5359318698374,49,26,61,196,allocated,326.98224257488505,49,28,61,131,existing,1654.7704207691213,49,27,61,131,existing,1654.7704207691213
50,50,26,62,132,existing,1257.1443106162078,50,26,62,121,existing,532.105284015659,50,26,62,189,allocated,131.479416203119,50,28,62,131,existing,1087.6461387076852,50,27,62,131,existing,1087.6461387076852
51,51,26,63,132,existing,1393.6300194418654,51,26,63,121,existing,395.61957519000117,51,26,63,196,allocated,210.4710460342556,51,28,63,131,existing,1224.131847533343,51,27,63,131,existing,1224.131847533343
52,52,26,64,132,existing,1408.4820216950395,52,26,64,121,existing,166.09587676717737,52,26,64,121,allocated,166.09587676717737,52,28,64,131,existing,1238.9838497865169,52,27,64,131,existing,1238.9838497865169
53,53,26,65,132,existing,1310.1994813075507,53,26,65,73,existing,965.230289926672,53,26,65,191,allocated,234.1746196634628,53,28,65,131,existing,1430.6322819000402,53,27,65,131,existing,1430.6322819000402
54,54,26,66,132,existing,1207.5253831741175,54,26,66,73,existing,862.5561917932386,54,26,66,191,allocated,131.50052153002946,54,28,66,131,existing,1327.958183766607,54,27,66,131,existing,1327.958183766607
55,55,26,67,132,existing,1149.7988400903832,55,26,67,121,existing,456.9304500829269,55,26,67,189,allocated,238.82488672894357,55,28,67,131,existing,980.3006681818606,55,27,67,131,existing,980.3006681818606
56,56,26,68,132,existing,1636.2624489992297,56,26,68,121,existing,1340.678179630731,56,26,68,93,allocated,146.19549541278883,56,28,68,131,existing,1466.7642770907073,56,27,68,131,existing,1466.7642770907073
57,57,26,69,132,existing,1735.9819373527705,57,26,69,121,existing,1440.397667984272,57,26,69,93,allocated,245.91498376632967,57,28,69,131,existing,1566.483765444248,57,27,69,131,existing,1566.483765444248
58,58,26,70,132,existing,1124.306123588568,58,26,70,73,existing,505.1986870016516,58,26,70,17,allocated,119.57907278672332,58,28,70,131,existing,1244.7389241810574,58,27,70,131,existing,1244.7389241810574
