,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school,assign_from_var_id_healthcare,assign_to_var_id_healthcare,assign_from_node_id_healthcare,assign_to_node_id_healthcare,assign_type_healthcare,dist_healthcare,0_assign_from_var_id_restaurant,0_assign_to_var_id_restaurant,0_assign_from_node_id_restaurant,0_assign_to_node_id_restaurant,0_assign_type_restaurant,0_dist_restaurant,1_assign_from_var_id_restaurant,1_assign_to_var_id_restaurant,1_assign_from_node_id_restaurant,1_assign_to_node_id_restaurant,1_assign_type_restaurant,1_dist_restaurant,2_assign_from_var_id_restaurant,2_assign_to_var_id_restaurant,2_assign_from_node_id_restaurant,2_assign_to_node_id_restaurant,2_assign_type_restaurant,2_dist_restaurant,3_assign_from_var_id_restaurant,3_assign_to_var_id_restaurant,3_assign_from_node_id_restaurant,3_assign_to_node_id_restaurant,3_assign_type_restaurant,3_dist_restaurant,4_assign_from_var_id_restaurant,4_assign_to_var_id_restaurant,4_assign_from_node_id_restaurant,4_assign_to_node_id_restaurant,4_assign_type_restaurant,4_dist_restaurant,5_assign_from_var_id_restaurant,5_assign_to_var_id_restaurant,5_assign_from_node_id_restaurant,5_assign_to_node_id_restaurant,5_assign_type_restaurant,5_dist_restaurant,6_assign_from_var_id_restaurant,6_assign_to_var_id_restaurant,6_assign_from_node_id_restaurant,6_assign_to_node_id_restaurant,6_assign_type_restaurant,6_dist_restaurant,7_assign_from_var_id_restaurant,7_assign_to_var_id_restaurant,7_assign_from_node_id_restaurant,7_assign_to_node_id_restaurant,7_assign_type_restaurant,7_dist_restaurant,8_assign_from_var_id_restaurant,8_assign_to_var_id_restaurant,8_assign_from_node_id_restaurant,8_assign_to_node_id_restaurant,8_assign_type_restaurant,8_dist_restaurant,9_assign_from_var_id_restaurant,9_assign_to_var_id_restaurant,9_assign_from_node_id_restaurant,9_assign_to_node_id_restaurant,9_assign_type_restaurant,9_dist_restaurant
10,10,16,63,22,allocated,361.6657825217433,10,16,63,10,allocated,437.9582355125141,10,16,63,63,allocated,0.0,10,56,63,90,allocated,98.28368515884236,10,7,63,10,allocated,437.9582355125141,10,114,63,136,existing,776.3418904617365,10,112,63,132,existing,753.2484467894093,10,116,63,29,existing,997.1521811202248,10,105,63,61,existing,994.1787007156531,10,110,63,126,existing,959.7042884697635,10,107,63,29,existing,997.1521811202248,10,113,63,17,existing,1322.3677440501256,10,106,63,29,existing,997.1521811202248
11,11,42,65,67,allocated,137.76182433226876,11,42,65,65,allocated,0.0,11,42,65,65,allocated,0.0,11,15,65,18,allocated,133.52538039505697,11,111,65,122,existing,265.8197876390186,11,109,65,74,existing,812.8163438301005,11,108,65,74,existing,812.8163438301005,11,115,65,110,existing,1391.3218784694282,11,106,65,29,existing,1585.3532107315357,11,107,65,29,existing,1585.3532107315357,11,116,65,29,existing,1585.3532107315357,11,113,65,17,existing,1910.8957220974532,11,105,65,61,existing,1612.6314106753618
12,12,42,66,67,allocated,69.38593637400942,12,42,66,65,allocated,68.37588795825936,12,42,66,65,allocated,68.37588795825936,12,15,66,18,allocated,185.33764159737416,12,111,66,122,existing,334.19567559727795,12,109,66,74,existing,881.1922317883598,12,108,66,74,existing,881.1922317883598,12,115,66,110,existing,1459.6977664276874,12,107,66,29,existing,1516.9773227732765,12,116,66,29,existing,1516.9773227732765,12,106,66,29,existing,1516.9773227732765,12,113,66,17,existing,1842.519834139194,12,105,66,61,existing,1544.2555227171026
13,13,42,67,67,allocated,0.0,13,42,67,65,allocated,137.76182433226876,13,42,67,67,allocated,0.0,13,15,67,18,allocated,115.95170522336474,13,111,67,122,existing,403.5816119712874,13,108,67,74,existing,950.5781681623693,13,109,67,74,existing,950.5781681623693,13,106,67,29,existing,1571.5036812436636,13,115,67,110,existing,1529.0837028016967,13,107,67,29,existing,1571.5036812436636,13,116,67,29,existing,1571.5036812436636,13,113,67,17,existing,1897.046192609581,13,105,67,61,existing,1598.7818811874897
14,14,42,70,67,allocated,271.08506461162966,14,42,70,65,allocated,284.93459409950174,14,42,70,97,allocated,153.6715492762769,14,15,70,18,allocated,387.0367698349944,14,111,70,122,existing,550.7543817385202,14,108,70,74,existing,1097.750937929602,14,109,70,74,existing,1097.750937929602,14,105,70,61,existing,1463.5266838773944,14,106,70,29,existing,1436.2484839335682,14,107,70,29,existing,1436.2484839335682,14,116,70,29,existing,1436.2484839335682,14,115,70,110,existing,1676.25647256893,14,113,70,17,existing,1761.7909952994858
15,15,42,72,67,allocated,193.54460502412365,15,42,72,65,allocated,211.11828019581586,15,42,72,18,allocated,77.59289980075889,15,15,72,18,allocated,77.59289980075889,15,111,72,122,existing,339.69734262252734,15,108,72,74,existing,886.6938988136092,15,109,72,74,existing,886.6938988136092,15,106,72,29,existing,1765.0482862677873,15,116,72,29,existing,1765.0482862677873,15,115,72,110,existing,1465.1994334529368,15,107,72,29,existing,1765.0482862677873,15,105,72,61,existing,1792.3264862116134,15,113,72,17,existing,2090.590797633705
16,16,79,86,138,allocated,152.79272018681976,16,79,86,42,existing,239.38434310228,16,79,86,86,allocated,0.0,16,106,86,29,existing,447.1052619872645,16,116,86,29,existing,447.1052619872645,16,107,86,29,existing,447.1052619872645,16,105,86,61,existing,474.3834619310906,16,56,86,90,allocated,577.1619670932055,16,7,86,10,allocated,655.6768095413927,16,113,86,17,existing,772.3208249171653,16,114,86,136,existing,909.3638244389556,16,112,86,132,existing,934.4467782970872,16,110,86,126,existing,1092.7262224469825
17,17,79,87,138,allocated,214.66557035595218,17,79,87,42,existing,301.2571932714124,17,79,87,87,allocated,0.0,17,107,87,29,existing,508.97811215639695,17,116,87,29,existing,508.97811215639695,17,106,87,29,existing,508.97811215639695,17,105,87,61,existing,536.256312100223,17,56,87,90,allocated,639.0348172623379,17,7,87,10,allocated,717.5496597105251,17,113,87,17,existing,834.1936750862978,17,114,87,136,existing,971.236674608088,17,110,87,126,existing,1154.5990726161149,17,112,87,132,existing,996.3196284662197
18,18,79,89,138,allocated,310.7609000887054,18,79,89,108,existing,216.54657300912103,18,79,89,89,allocated,0.0,18,56,89,90,allocated,309.34602381241535,18,7,89,10,allocated,469.2679469027261,18,105,89,61,existing,586.5489917443954,18,106,89,29,existing,605.0734418891501,18,116,89,29,existing,605.0734418891501,18,114,89,136,existing,722.9549618002891,18,112,89,132,existing,748.0379156584207,18,107,89,29,existing,605.0734418891501,18,113,89,17,existing,930.2890048190509,18,110,89,126,existing,906.317359808316
19,19,102,94,132,existing,321.98594819519616,19,102,94,10,allocated,522.6522139044637,19,102,94,94,allocated,0.0,19,112,94,132,existing,321.98594819519616,19,114,94,136,existing,347.06890205332775,19,110,94,126,existing,529.9748870782769,19,7,94,10,allocated,522.6522139044637,19,105,94,61,existing,936.2946729909578,19,56,94,90,allocated,862.3267642581354,19,107,94,29,existing,963.5728729347838,19,106,94,29,existing,963.5728729347838,19,116,94,29,existing,963.5728729347838,19,115,94,110,existing,1005.8037857821948
