,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school,0_assign_from_var_id_restaurant,0_assign_to_var_id_restaurant,0_assign_from_node_id_restaurant,0_assign_to_node_id_restaurant,0_assign_type_restaurant,0_dist_restaurant,1_assign_from_var_id_restaurant,1_assign_to_var_id_restaurant,1_assign_from_node_id_restaurant,1_assign_to_node_id_restaurant,1_assign_type_restaurant,1_dist_restaurant,2_assign_from_var_id_restaurant,2_assign_to_var_id_restaurant,2_assign_from_node_id_restaurant,2_assign_to_node_id_restaurant,2_assign_type_restaurant,2_dist_restaurant,3_assign_from_var_id_restaurant,3_assign_to_var_id_restaurant,3_assign_from_node_id_restaurant,3_assign_to_node_id_restaurant,3_assign_type_restaurant,3_dist_restaurant,4_assign_from_var_id_restaurant,4_assign_to_var_id_restaurant,4_assign_from_node_id_restaurant,4_assign_to_node_id_restaurant,4_assign_type_restaurant,4_dist_restaurant,5_assign_from_var_id_restaurant,5_assign_to_var_id_restaurant,5_assign_from_node_id_restaurant,5_assign_to_node_id_restaurant,5_assign_type_restaurant,5_dist_restaurant,6_assign_from_var_id_restaurant,6_assign_to_var_id_restaurant,6_assign_from_node_id_restaurant,6_assign_to_node_id_restaurant,6_assign_type_restaurant,6_dist_restaurant,7_assign_from_var_id_restaurant,7_assign_to_var_id_restaurant,7_assign_from_node_id_restaurant,7_assign_to_node_id_restaurant,7_assign_type_restaurant,7_dist_restaurant,8_assign_from_var_id_restaurant,8_assign_to_var_id_restaurant,8_assign_from_node_id_restaurant,8_assign_to_node_id_restaurant,8_assign_type_restaurant,8_dist_restaurant,9_assign_from_var_id_restaurant,9_assign_to_var_id_restaurant,9_assign_from_node_id_restaurant,9_assign_to_node_id_restaurant,9_assign_type_restaurant,9_dist_restaurant
0,0,51,0,432,existing,296.48192454242303,0,51,0,432,allocated,296.48192454242303,0,73,0,116,existing,258.7332694289322,0,74,0,432,existing,296.48192454242303,0,75,0,117,existing,440.21946866057317,0,72,0,348,existing,385.7968930585662,0,71,0,277,existing,578.5035968883817,0,16,0,192,allocated,1094.418049611552,0,23,0,237,allocated,789.6459173362855,0,24,0,238,allocated,838.695120882749,0,70,0,448,existing,1973.4308068995688,0,76,0,357,existing,2434.3806247628286
1,1,51,1,432,existing,218.0058431521466,1,51,1,432,allocated,218.0058431521466,1,74,1,432,existing,218.0058431521466,1,73,1,116,existing,307.8742153128579,1,72,1,348,existing,434.9378389424919,1,75,1,117,existing,361.7433872702967,1,23,1,237,allocated,711.169835946009,1,24,1,238,allocated,760.2190394924727,1,71,1,277,existing,500.02751549810523,1,16,1,192,allocated,1015.9419682212756,1,70,1,448,existing,1894.954725509292,1,76,1,357,existing,2483.5215706467543
2,2,59,4,348,existing,353.4980892217159,2,59,4,317,allocated,368.7543224401495,2,72,4,348,existing,353.4980892217159,2,73,4,116,existing,480.56171285134985,2,71,4,277,existing,599.0582174073089,2,74,4,432,existing,575.6908389903035,2,23,4,237,allocated,1006.295068032823,2,24,4,238,allocated,1055.3442715792867,2,75,4,117,existing,602.869031579573,2,16,4,192,allocated,1290.6143857276488,2,70,4,448,existing,2157.5447289055846,2,76,4,357,existing,2402.0818209259783
3,3,59,5,348,existing,447.76488988877736,3,59,5,317,allocated,463.021123107211,3,72,5,348,existing,447.76488988877736,3,73,5,116,existing,574.8285135184113,3,71,5,277,existing,693.3250180743704,3,74,5,432,existing,669.957639657365,3,75,5,117,existing,697.1358322466344,3,23,5,237,allocated,1100.5618686998846,3,24,5,238,allocated,1149.6110722463482,3,16,5,192,allocated,1384.8811863947103,3,76,5,357,existing,2496.3486215930398,3,70,5,448,existing,2251.8115295726466
4,4,20,6,223,allocated,534.992222710598,4,20,6,223,existing,534.992222710598,4,73,6,116,existing,627.3604564721977,4,74,6,432,existing,665.1091115856884,4,75,6,117,existing,808.8466557038386,4,72,6,348,existing,754.4240801018317,4,23,6,237,allocated,1154.0236601758436,4,16,6,192,allocated,1458.7957924511104,4,71,6,277,existing,947.1307839316471,4,24,6,238,allocated,1203.0728637223074,4,70,6,448,existing,2337.808549739127,4,76,6,357,existing,2803.0078118060937
5,5,20,7,223,allocated,472.3963789044123,5,20,7,223,existing,472.3963789044123,5,73,7,116,existing,569.5257379259755,5,74,7,432,existing,602.6345678721809,5,75,7,117,existing,746.3721119903311,5,72,7,348,existing,696.5893615556095,5,23,7,237,allocated,1091.427816369658,5,16,7,192,allocated,1396.1999486449247,5,24,7,238,allocated,1140.4770199161217,5,71,7,277,existing,884.6562402181396,5,76,7,357,existing,2745.173093259872,5,70,7,448,existing,2275.2127059329414
6,6,55,10,75,existing,264.4449187143209,6,55,10,432,allocated,385.85262453372786,6,75,10,117,existing,292.2622232349164,6,74,10,432,existing,385.85262453372786,6,23,10,237,allocated,436.72074326974484,6,71,10,277,existing,430.54635146272494,6,16,10,192,allocated,741.4928755450114,6,24,10,238,allocated,485.7699468162085,6,73,10,116,existing,475.4759494558481,6,72,10,348,existing,541.6331655927736,6,76,10,357,existing,2217.962400103666,6,70,10,448,existing,1620.505632833028
7,7,55,11,75,existing,246.26229857820962,7,55,11,432,allocated,367.6700043976166,7,75,11,117,existing,274.07960309880514,7,74,11,432,existing,367.6700043976166,7,23,11,237,allocated,418.5381231336336,7,71,11,277,existing,412.3637313266137,7,73,11,116,existing,457.2933293197368,7,16,11,192,allocated,723.3102554089,7,72,11,348,existing,523.4505454566623,7,24,11,238,allocated,467.58732668009725,7,76,11,357,existing,2199.7797799675545,7,70,11,448,existing,1602.3230126969167
8,8,30,12,284,allocated,242.43667421475058,8,30,12,140,existing,198.10633618639258,8,16,12,192,allocated,430.7939894824906,8,24,12,238,allocated,686.5169182112935,8,23,12,237,allocated,735.5661217577572,8,70,12,448,existing,723.0356848681216,8,74,12,432,existing,1325.5945102943301,8,75,12,117,existing,1188.5756714289066,8,76,12,357,existing,1295.7765451567634,8,71,12,277,existing,1134.1101124510474,8,73,12,116,existing,1371.7893976498383,8,72,12,348,existing,1338.3632473821112
9,9,30,13,284,allocated,313.47214104041217,9,30,13,140,existing,95.10882088003044,9,16,13,192,allocated,327.7964741761284,9,24,13,238,allocated,583.5194029049313,9,70,13,448,existing,620.0381695617594,9,23,13,237,allocated,632.568606451395,9,75,13,117,existing,1085.5781561225444,9,76,13,357,existing,1192.7790298504015,9,74,13,432,existing,1222.596994987968,9,71,13,277,existing,1031.1125971446852,9,73,13,116,existing,1268.7918823434761,9,72,13,348,existing,1235.365732075749
