,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_restaurant,assign_to_var_id_restaurant,assign_from_node_id_restaurant,assign_to_node_id_restaurant,assign_type_restaurant,dist_restaurant,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school,assign_from_var_id_healthcare,assign_to_var_id_healthcare,assign_from_node_id_healthcare,assign_to_node_id_healthcare,assign_type_healthcare,dist_healthcare
0,0,102,0,132,existing,331.8889663030756,0,102,0,132,existing,331.8889663030756,0,102,0,108,existing,676.6582923832746,0,102,0,132,existing,331.8889663030756
1,1,102,1,132,existing,155.28505100329156,1,102,1,132,existing,155.28505100329156,1,102,1,108,existing,512.3503517255893,1,102,1,132,existing,155.28505100329156
2,2,103,6,75,existing,617.5713258505581,2,103,6,122,existing,466.645085028202,2,103,6,42,existing,1762.185100844204,2,103,6,80,existing,647.2159898597506
3,3,101,10,145,existing,308.70125155873495,3,101,10,132,existing,315.2902112768952,3,101,10,108,existing,352.34519145198567,3,101,10,145,existing,308.70125155873495
4,4,98,15,136,existing,880.7725760242022,4,98,15,17,existing,61.27390622317153,4,98,15,42,existing,527.4620018352953,4,98,15,29,existing,264.2686051427461
5,5,103,18,75,existing,550.2714088564317,5,103,18,122,existing,399.3451680340756,5,103,18,42,existing,1950.6487831595775,5,103,18,80,existing,579.9160728656242
6,6,103,19,75,existing,592.4886835630875,6,103,19,122,existing,441.5624427407315,6,103,19,42,existing,1872.677908705657,6,103,19,80,existing,622.1333475722801
7,7,101,22,145,existing,330.42329179649585,7,101,22,136,existing,414.67610793999324,7,101,22,108,existing,233.51822372505376,7,101,22,145,existing,330.42329179649585
8,8,101,43,145,existing,420.0629794138419,8,101,43,61,existing,299.14745565993667,8,101,43,42,existing,63.232258911213535,8,101,43,29,existing,317.6719058046914
9,9,102,51,132,existing,227.7679007625485,9,102,51,132,existing,227.7679007625485,9,102,51,108,existing,780.7793579238016,9,102,51,132,existing,227.7679007625485
10,10,104,63,145,existing,692.0890743182392,10,104,63,132,existing,753.2484467894093,10,104,63,108,existing,595.184006246797,10,104,63,145,existing,692.0890743182392
11,11,103,65,75,existing,416.74602846137464,11,103,65,122,existing,265.8197876390186,11,103,65,42,existing,1848.5466074240849,11,103,65,80,existing,446.39069247056716
12,12,103,66,75,existing,485.121916419634,12,103,66,122,existing,334.19567559727795,12,103,66,42,existing,1780.1707194658256,12,103,66,80,existing,514.7665804288265
13,13,103,67,75,existing,554.5078527936435,13,103,67,122,existing,403.5816119712874,13,103,67,42,existing,1834.6970779362127,13,103,67,80,existing,584.152516802836
14,14,103,70,75,existing,701.6806225608764,14,103,70,122,existing,550.7543817385202,14,103,70,42,existing,1699.4418806261174,14,103,70,80,existing,731.3252865700689
15,15,103,72,75,existing,490.62358344488337,15,103,72,122,existing,339.69734262252734,15,103,72,42,existing,2028.2416829603364,15,103,72,80,existing,520.2682474540759
16,16,104,86,145,existing,596.2150636049083,16,104,86,29,existing,447.1052619872645,16,104,86,42,existing,239.38434310228,16,104,86,29,existing,447.1052619872645
17,17,101,87,145,existing,658.0879137740408,17,101,87,29,existing,508.97811215639695,17,101,87,42,existing,301.2571932714124,17,101,87,29,existing,508.97811215639695
18,18,101,89,145,existing,409.80620096624176,18,101,89,61,existing,586.5489917443954,18,101,89,108,existing,216.54657300912103,18,101,89,145,existing,409.80620096624176
19,19,102,94,132,existing,321.98594819519616,19,102,94,132,existing,321.98594819519616,19,102,94,108,existing,874.9974053564493,19,102,94,132,existing,321.98594819519616
20,20,101,96,145,existing,405.5617355723043,20,101,96,61,existing,636.6771465572541,20,101,96,108,existing,227.91720632586697,20,101,96,145,existing,405.5617355723043
21,21,101,101,145,existing,533.5156970453645,21,101,101,29,existing,384.4058954277207,21,101,101,42,existing,176.6849765427362,21,101,101,29,existing,384.4058954277207
22,22,104,103,145,existing,565.0015466993464,22,104,103,132,existing,657.2666861461013,22,104,103,108,existing,387.3570174529091,22,104,103,145,existing,565.0015466993464
23,23,104,109,145,existing,638.9953467623087,23,104,109,132,existing,700.1547192334788,23,104,109,108,existing,542.0902786908666,23,104,109,145,existing,638.9953467623087
24,24,98,116,136,existing,762.0557451756854,24,98,116,17,existing,181.40813866384417,24,98,116,42,existing,408.7451709867785,24,98,116,29,existing,206.66235692778773
25,25,103,127,75,existing,345.4867707406599,25,103,127,122,existing,194.5605299183038,25,103,127,42,existing,1919.8058651447996,25,103,127,80,existing,375.1314347498524
26,26,104,128,145,existing,283.98724995071865,26,104,128,136,existing,320.5631418210775,26,104,128,108,existing,327.6311898439694,26,104,128,145,existing,283.98724995071865
27,27,101,129,145,existing,358.8688275927983,27,101,129,136,existing,395.4447194631572,27,101,129,108,existing,402.5127674860491,27,101,129,145,existing,358.8688275927983
28,28,104,130,145,existing,354.04619162509766,28,104,130,132,existing,415.2055640962678,28,104,130,108,existing,257.1411235536555,28,104,130,145,existing,354.04619162509766
29,29,102,132,132,existing,0.0,29,102,132,132,existing,0.0,29,102,132,108,existing,631.1151602076802,29,102,132,132,existing,0.0
30,30,101,133,145,existing,500.0969358420638,30,101,133,136,existing,584.349751985561,30,101,133,108,existing,363.9373713329326,30,101,133,145,existing,500.0969358420638
31,31,98,136,136,existing,0.0,31,98,136,136,existing,0.0,31,98,136,108,existing,606.0322063495487,31,98,136,132,existing,25.082953858131617
32,32,101,137,145,existing,138.28643448184422,32,101,137,136,existing,174.8623263522031,32,101,137,108,existing,431.16987999734556,32,101,137,145,existing,138.28643448184422
33,33,104,138,145,existing,443.4223434180886,33,104,138,29,existing,294.3125418004447,33,104,138,42,existing,86.59162291546023,33,104,138,29,existing,294.3125418004447
34,34,104,139,145,existing,549.2070372806386,34,104,139,61,existing,428.2915135267333,34,104,139,42,existing,192.37631677801016,34,104,139,29,existing,446.815963671488
35,35,104,140,145,existing,530.312439739027,35,104,140,61,existing,466.04275297161007,35,104,140,42,existing,230.12755622288694,35,104,140,29,existing,484.5672031163648
36,36,104,141,145,existing,603.9234714474837,36,104,141,29,existing,488.5067920838734,36,104,141,42,existing,280.7858731988889,36,104,141,29,existing,488.5067920838734
37,37,104,144,145,existing,428.37872773415097,37,104,144,132,existing,434.9676874523112,37,104,144,108,existing,472.02266762740174,37,104,144,145,existing,428.37872773415097
38,38,104,152,145,existing,70.59640763382428,38,104,152,136,existing,242.55235320022302,38,104,152,108,existing,363.4798531493256,38,104,152,145,existing,70.59640763382428
