,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_restaurant,assign_to_var_id_restaurant,assign_from_node_id_restaurant,assign_to_node_id_restaurant,assign_type_restaurant,dist_restaurant,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school,assign_from_var_id_healthcare,assign_to_var_id_healthcare,assign_from_node_id_healthcare,assign_to_node_id_healthcare,assign_type_healthcare,dist_healthcare
98,98,93,298,271,existing,444.36111336056575,98,93,298,128,existing,288.7810772812503,98,93,298,65,existing,513.7458896755845,98,93,298,199,existing,220.14929303759303
99,99,93,299,271,existing,484.1322341313563,99,93,299,128,existing,328.5521980520408,99,93,299,65,existing,553.517010446375,99,93,299,199,existing,259.92041380838356
100,100,97,300,250,existing,134.3761926243576,100,97,300,148,existing,225.8807095250275,100,97,300,86,existing,290.16021550075646,100,97,300,148,existing,225.8807095250275
101,101,90,301,289,existing,146.20648299362017,101,90,301,148,existing,599.8006637110283,101,90,301,170,existing,238.92499643283531,101,90,301,170,existing,238.92499643283531
102,102,94,304,56,existing,286.4985282790842,102,94,304,277,existing,251.9718822842387,102,94,304,86,existing,471.2038678408178,102,94,304,278,existing,424.88239984482664
103,103,98,305,397,existing,238.00720774371462,103,98,305,345,existing,178.56259749597052,103,98,305,86,existing,591.1883744534163,103,98,305,278,existing,300.6335644177464
104,104,93,307,271,existing,2469.8837886379947,104,93,307,128,existing,1736.7415979961784,104,93,307,65,existing,2539.268564953013,104,93,307,328,existing,238.01412375050688
105,105,93,308,271,existing,550.11534675578,105,93,308,128,existing,183.02684388603612,105,93,308,65,existing,619.5001230707987,105,93,308,199,existing,325.9035264328072
106,106,93,311,271,existing,349.770774450101,106,93,311,399,existing,332.4137516504794,106,93,311,65,existing,352.5185472007893,106,93,311,199,existing,125.55895412712825
107,107,98,312,397,existing,104.19660603038548,107,98,312,246,existing,249.0496034481272,107,98,312,86,existing,285.2655438056013,107,98,312,247,existing,365.28360230866303
108,108,96,313,148,existing,274.5088365586793,108,96,313,148,existing,274.5088365586793,108,96,313,170,existing,486.31672176781467,108,96,313,148,existing,274.5088365586793
109,109,96,314,148,existing,180.09509374155186,109,96,314,148,existing,180.09509374155186,109,96,314,65,existing,572.8550273178561,109,96,314,148,existing,180.09509374155186
110,110,96,315,148,existing,298.56171180102365,110,96,315,148,existing,298.56171180102365,110,96,315,170,existing,662.0430023019857,110,96,315,148,existing,298.56171180102365
