,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_restaurant,assign_to_var_id_restaurant,assign_from_node_id_restaurant,assign_to_node_id_restaurant,assign_type_restaurant,dist_restaurant,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school
0,0,67,2,584,existing,554.629878698989,0,67,2,101,existing,840.4546881066937,0,67,2,353,existing,668.9798975886247
1,1,51,4,570,existing,493.6301258043151,1,51,4,164,existing,891.9139523877161,1,51,4,327,existing,730.6540047685332
2,2,55,5,570,existing,524.5529320935628,2,55,5,331,existing,881.5095729068778,2,55,5,327,existing,701.600473692277
3,3,68,11,642,existing,651.2902200781691,3,68,11,382,allocated,914.6124143213365,3,68,11,276,existing,548.3089256339244
4,4,54,16,419,existing,426.8144316223465,4,54,16,164,existing,286.5682940553802,4,54,16,498,allocated,628.2326569992028
5,5,57,17,498,existing,508.23484586151517,5,57,17,164,existing,406.5661051930679,5,57,17,498,allocated,508.23484586151517
6,6,61,18,162,existing,555.0564046138884,6,61,18,164,existing,824.6713826298767,6,61,18,568,existing,259.1874363556987
7,7,61,19,162,existing,502.7759038358338,7,61,19,164,existing,772.3908818518221,7,61,19,568,existing,206.9069355776441
8,8,33,20,445,allocated,382.85797685660583,8,33,20,611,allocated,493.1692789281422,8,33,20,529,existing,628.9463957738208
9,9,33,21,445,allocated,501.8005776951786,9,33,21,611,allocated,612.111879766715,9,33,21,529,existing,747.8889966123936
10,10,63,22,184,existing,596.8933422035045,10,63,22,184,allocated,596.8933422035045,10,63,22,464,existing,318.33521452473667
11,11,8,23,114,allocated,511.04524990789366,11,8,23,331,existing,650.2481818133306,11,8,23,464,existing,520.3404538294992
12,12,52,24,382,existing,408.5365708892186,12,52,24,382,allocated,408.5365708892186,12,52,24,276,existing,586.3557069225644
13,13,52,25,382,existing,280.0722579227483,13,52,25,382,allocated,280.0722579227483,13,52,25,276,existing,714.8200198890347
14,14,52,26,382,existing,458.80762570562376,14,52,26,382,allocated,458.80762570562376,14,52,26,276,existing,419.45488682224845
15,15,52,27,382,existing,463.68032146852664,15,52,27,382,allocated,463.68032146852664,15,52,27,276,existing,531.2119563432564
16,16,52,28,382,existing,620.5976191818534,16,52,28,382,allocated,620.5976191818534,16,52,28,276,existing,454.9562462039245
17,17,52,29,382,existing,494.8268112859156,17,52,29,382,allocated,494.8268112859156,17,52,29,276,existing,580.7270540998622
18,18,57,30,498,existing,339.2958129630879,18,57,30,498,existing,339.2958129630879,18,57,30,498,allocated,339.2958129630879
19,19,57,31,498,existing,255.78494942622223,19,57,31,498,existing,255.78494942622223,19,57,31,498,allocated,255.78494942622223
20,20,60,32,365,existing,544.20308269933,20,60,32,331,existing,854.0475411169275,20,60,32,327,existing,517.1997883842257
21,21,60,33,365,existing,622.6724094583806,21,60,33,331,existing,775.5782143578772,21,60,33,327,existing,595.6691151432761
22,22,57,34,498,existing,179.24639126041194,22,57,34,498,existing,179.24639126041194,22,57,34,498,allocated,179.24639126041194
23,23,57,35,498,existing,329.4556982395163,23,57,35,498,existing,329.4556982395163,23,57,35,498,allocated,329.4556982395163
24,24,59,36,314,existing,757.1651727230922,24,59,36,331,existing,689.6611098034107,24,59,36,327,existing,774.4827383170386
25,25,59,37,314,existing,666.3598841037251,25,59,37,331,existing,598.8558211840437,25,59,37,327,existing,683.6774496976717
26,26,33,38,445,allocated,275.2641782418628,26,33,38,611,allocated,677.6009279296279,26,33,38,529,existing,813.3780447753065
27,27,33,39,445,allocated,205.28290837517068,27,33,39,611,allocated,607.6196580629357,27,33,39,529,existing,743.3967749086144
28,28,36,40,495,allocated,482.51289251093596,28,36,40,184,allocated,648.9036058864691,28,36,40,138,existing,818.2263272975484
29,29,36,41,495,allocated,419.41495066370544,29,36,41,184,allocated,585.8056640392385,29,36,41,464,existing,864.3637917180064
30,30,67,42,584,existing,76.74638736764547,30,67,42,101,existing,667.2268770125193,30,67,42,353,existing,191.0964062572811
31,31,55,44,570,existing,468.9053531150141,31,55,44,164,existing,867.1891796984152,31,55,44,327,existing,571.6725826940092
32,32,55,45,570,existing,520.3240742076968,32,55,45,331,existing,918.2001817846199,32,55,45,327,existing,581.3524290519181
33,33,61,46,162,existing,805.6727968987329,33,61,46,611,allocated,722.338922472371,33,61,46,138,existing,615.5739269839814
34,34,61,47,162,existing,739.003520613337,34,61,47,611,allocated,789.0081987577671,34,61,47,138,existing,548.9046506985854
35,35,36,48,495,allocated,753.970971561328,35,36,48,184,allocated,920.3616849368613,35,36,48,603,allocated,870.5802019241565
36,36,36,49,495,allocated,660.2932445564909,36,36,49,184,allocated,826.6839579320241,36,36,49,603,allocated,776.9024749193193
37,37,62,50,184,existing,140.83983351747494,37,62,50,184,allocated,140.83983351747494,37,62,50,464,existing,137.71829416129285
38,38,62,51,184,existing,315.6017973269984,38,62,51,184,allocated,315.6017973269984,38,62,51,464,existing,312.4802579708163
39,39,60,52,365,existing,802.9590825231871,39,60,52,331,existing,595.2915412930705,39,60,52,327,existing,775.9557882080828
40,40,33,53,445,allocated,318.65617940700986,40,33,53,611,allocated,315.01618153291327,40,33,53,529,existing,450.7932983785919
41,41,33,54,445,allocated,273.9207283638559,41,33,54,611,allocated,384.2320304353923,41,33,54,529,existing,520.0091472810709
42,42,33,55,445,allocated,301.44600046997175,42,33,55,611,allocated,332.22636046995143,42,33,55,529,existing,468.00347731563
43,43,33,56,445,allocated,246.48165036621486,43,33,56,611,allocated,391.41643811109816,43,33,56,529,existing,527.1935549567768
44,44,67,57,584,existing,590.8173918554647,44,67,57,101,existing,876.6422012631693,44,67,57,276,existing,660.4729995833459
45,45,67,58,584,existing,621.3355358802978,45,67,58,382,allocated,872.4669599757231,45,67,58,276,existing,629.9548555585127
46,46,57,61,498,existing,134.82685685094128,46,57,61,498,existing,134.82685685094128,46,57,61,498,allocated,134.82685685094128
47,47,57,62,498,existing,114.09505266756501,47,57,62,498,existing,114.09505266756501,47,57,62,498,allocated,114.09505266756501
48,48,8,63,114,allocated,546.700925175329,48,8,63,331,existing,1119.5096569514499,48,8,63,687,existing,1125.1982291089632
49,49,8,64,114,allocated,476.98601910991965,49,8,64,331,existing,1049.7947508860404,49,8,64,687,existing,1055.4833230435538
50,50,8,65,114,allocated,421.20076580358733,50,8,65,331,existing,994.0094975797081,50,8,65,687,existing,999.6980697372215
51,51,67,66,584,existing,771.59487178677,51,67,66,101,existing,857.8385012170718,51,67,66,276,existing,824.421046192764
52,52,67,67,584,existing,702.9925348487935,52,67,67,101,existing,789.2361642790953,52,67,67,276,existing,755.8187092547876
53,53,67,68,584,existing,566.1997380762325,53,67,68,382,allocated,778.557683525813,53,67,68,353,existing,298.356944451306
54,54,68,70,642,existing,718.4738428634254,54,68,70,382,allocated,813.7658912477764,54,68,70,276,existing,526.7873761079518
55,55,68,71,642,existing,681.9132946741307,55,68,71,382,allocated,772.1943364125533,55,68,71,276,existing,490.2268279186572
56,56,67,72,584,existing,769.7972942766075,56,67,72,382,allocated,781.8152372403449,56,67,72,353,existing,501.954500651681
57,57,67,73,584,existing,687.6211591117715,57,67,73,382,allocated,863.9913724051812,57,67,73,353,existing,419.77836548684485
58,58,67,74,584,existing,613.1938496863866,58,67,74,382,allocated,794.522675147274,58,67,74,353,existing,345.35105606146
59,59,68,77,642,existing,462.57538874656143,59,68,77,382,allocated,1340.5377563914321,59,68,77,276,existing,617.3226496956569
60,60,33,78,445,allocated,208.1171825485899,60,33,78,611,allocated,425.55517839133324,60,33,78,529,existing,561.3322952370119
61,61,60,80,365,existing,35.26430728740536,61,60,80,164,existing,425.1738980359691,61,60,80,327,existing,263.9139504167862
62,62,58,81,306,existing,429.64382508864605,62,58,81,611,allocated,561.5103499634683,62,58,81,529,existing,697.287466809147
63,63,36,82,495,allocated,666.1628726812274,63,36,82,184,allocated,832.5535860567607,63,36,82,138,existing,634.5763471272569
64,64,36,83,495,allocated,556.6489868922346,64,36,83,184,allocated,723.0397002677678,64,36,83,138,existing,744.0902329162498
65,65,52,84,382,existing,367.0210938353613,65,52,84,382,allocated,367.0210938353613,65,52,84,353,existing,709.8935341417576
66,66,52,85,382,existing,277.0969100243967,66,52,85,382,allocated,277.0969100243967,66,52,85,353,existing,689.3316267029678
67,67,51,86,570,existing,281.66438870954914,67,51,86,164,existing,679.9482152929502,67,51,86,327,existing,384.4316182885442
68,68,60,87,365,existing,320.40118105894607,68,60,87,164,existing,710.3107718075098,68,60,87,327,existing,293.3978867438417
69,69,52,88,382,existing,719.7627457188062,69,52,88,382,allocated,719.7627457188062,69,52,88,353,existing,564.0069921732198
70,70,52,89,382,existing,654.0118188033947,70,52,89,382,allocated,654.0118188033947,70,52,89,276,existing,581.6921793762633
71,71,64,90,542,existing,119.60634697219163,71,64,90,101,existing,536.3373069595751,71,64,90,101,allocated,536.3373069595751
72,72,33,92,445,allocated,634.7440712338466,72,33,92,611,allocated,389.84247972816024,72,33,92,529,existing,525.6195965738389
73,73,33,93,445,allocated,540.7808499135456,73,33,93,611,allocated,295.8792584078592,73,33,93,529,existing,431.6563752535378
74,74,8,95,114,allocated,420.92944448191747,74,8,95,184,allocated,1177.119739810259,74,8,95,464,existing,1173.998200454077
75,75,68,98,642,existing,573.9110221007556,75,68,98,382,allocated,908.5419904062044,75,68,98,276,existing,470.929727656511
76,76,64,101,542,existing,416.7309599873835,76,64,101,101,existing,0.0,76,64,101,101,allocated,0.0
77,77,67,102,584,existing,497.23015340857063,77,67,102,101,existing,138.72337384164288,77,67,102,101,allocated,138.72337384164288
78,78,63,103,184,existing,335.7209670242636,78,63,103,184,allocated,335.7209670242636,78,63,103,603,allocated,248.10374141712467
79,79,63,104,184,existing,292.94278661771676,79,63,104,184,allocated,292.94278661771676,79,63,104,603,allocated,205.32556101057787
80,80,57,105,498,existing,398.7403438371779,80,57,105,498,existing,398.7403438371779,80,57,105,498,allocated,398.7403438371779
81,81,57,106,498,existing,365.041530192631,81,57,106,498,existing,365.041530192631,81,57,106,498,allocated,365.041530192631
82,82,57,107,498,existing,384.2219324834684,82,57,107,498,existing,384.2219324834684,82,57,107,498,allocated,384.2219324834684
83,83,54,110,419,existing,228.9386771204122,83,54,110,164,existing,88.6925395534459,83,54,110,568,existing,476.7914067207322
84,84,60,111,365,existing,295.0174352608981,84,60,111,164,existing,159.86472918942172,84,60,111,568,existing,405.6192170847563
85,85,60,112,365,existing,160.55715203377582,85,60,112,164,existing,550.4667427823396,85,60,112,327,existing,133.55385771867148
86,86,60,113,365,existing,207.41738600209797,86,60,113,164,existing,597.3269767506617,86,60,113,327,existing,86.69362375034936
87,87,57,116,498,existing,662.889426627418,87,57,116,611,allocated,336.5101671170914,87,57,116,529,existing,200.7330502714128
88,88,33,117,445,allocated,749.6532642807585,88,33,117,611,allocated,115.98090334083543,88,33,117,529,existing,251.75802018651402
89,89,51,118,570,existing,492.6345575706366,89,51,118,331,existing,392.18238708202176,89,51,118,353,existing,564.6130187685578
90,90,66,119,570,existing,565.060927271213,90,66,119,331,existing,319.75601738144536,90,66,119,353,existing,637.0393884691342
91,91,57,120,498,existing,683.2585211648344,91,57,120,611,allocated,414.3593050735541,91,57,120,529,existing,278.58218822787546
92,92,57,121,498,existing,738.3271417889889,92,57,121,611,allocated,359.2906844493995,92,57,121,529,existing,223.51356760372093
93,93,57,122,498,existing,710.5900889433847,93,57,122,611,allocated,299.86067462035135,93,57,122,529,existing,164.08355777467276
94,94,58,123,306,existing,412.1583377535318,94,58,123,611,allocated,568.6054050251901,94,58,123,529,existing,704.3825218708687
95,95,33,124,445,allocated,255.51054728090705,95,33,124,611,allocated,400.44533502579037,95,33,124,529,existing,536.2224518714689
96,96,33,125,445,allocated,605.3498126172972,96,33,125,611,allocated,360.44822111161085,96,33,125,529,existing,496.2253379572894
97,97,33,126,445,allocated,532.7157822315497,97,33,126,611,allocated,287.8141907258634,97,33,126,529,existing,423.59130757154196
98,98,65,127,306,existing,375.34674822077295,98,65,127,611,allocated,666.2819988608355,98,65,127,529,existing,802.0591157065141
99,99,65,128,306,existing,449.96726548186155,99,65,128,611,allocated,591.6614815997469,99,65,128,529,existing,727.4385984454256
100,100,57,129,498,existing,611.9615243034699,100,57,129,611,allocated,421.07334881517033,100,57,129,529,existing,285.29623196949177
101,101,57,130,498,existing,670.3483009104741,101,57,130,611,allocated,368.4003447058504,101,57,130,529,existing,343.683008576496
102,102,61,131,162,existing,720.636142428018,102,61,131,184,allocated,888.8594868942581,102,61,131,138,existing,578.2704462897594
103,103,61,132,162,existing,629.9524048706893,103,61,132,611,allocated,979.3871234958051,103,61,132,138,existing,487.5867087324307
104,104,57,133,498,existing,218.85196459861217,104,57,133,498,existing,218.85196459861217,104,57,133,498,allocated,218.85196459861217
105,105,57,134,498,existing,265.6473356237348,105,57,134,498,existing,265.6473356237348,105,57,134,498,allocated,265.6473356237348
106,106,61,137,162,existing,255.34074416611628,106,61,137,184,allocated,889.3207448958328,106,61,137,138,existing,65.2418742513648
