,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_restaurant,assign_to_var_id_restaurant,assign_from_node_id_restaurant,assign_to_node_id_restaurant,assign_type_restaurant,dist_restaurant,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school,assign_from_var_id_healthcare,assign_to_var_id_healthcare,assign_from_node_id_healthcare,assign_to_node_id_healthcare,assign_type_healthcare,dist_healthcare
0,0,59,0,126,existing,774.1531632099952,0,59,0,323,existing,749.5152811160201,0,59,0,95,existing,329.96926744259144,0,59,0,126,existing,774.1531632099952
1,1,55,1,193,existing,665.3346508604185,1,55,1,323,existing,638.4623246872189,1,55,1,95,existing,441.0222238713926,1,55,1,193,existing,665.3346508604185
2,2,59,2,126,existing,587.626207266401,2,59,2,126,existing,587.626207266401,2,59,2,180,existing,256.516117218503,2,59,2,126,existing,587.626207266401
3,3,58,3,126,existing,531.2831395840765,3,58,3,126,existing,531.2831395840765,3,58,3,180,existing,312.85918490082753,3,58,3,126,existing,531.2831395840765
4,4,56,4,193,existing,266.210334520228,4,56,4,193,existing,266.210334520228,4,56,4,144,existing,87.85301919854606,4,56,4,193,existing,266.210334520228
5,5,55,5,193,existing,212.93832831659384,5,55,5,193,existing,212.93832831659384,5,55,5,144,existing,300.6570752479669,5,55,5,193,existing,212.93832831659384
6,6,56,6,193,existing,358.8520668621476,6,56,6,193,existing,358.8520668621476,6,56,6,144,existing,380.8958604674067,6,56,6,193,existing,358.8520668621476
7,7,59,11,126,existing,549.4300680196553,7,59,11,126,existing,549.4300680196553,7,59,11,95,existing,322.9440316923947,7,59,11,126,existing,549.4300680196553
8,8,56,12,193,existing,438.6791246059352,8,56,12,323,existing,411.8067984327356,8,56,12,252,existing,309.00646722248865,8,56,12,193,existing,438.6791246059352
9,9,55,13,193,existing,471.50341890087185,9,55,13,193,existing,471.50341890087185,9,55,13,252,existing,339.2018359218866,9,55,13,193,existing,471.50341890087185
10,10,55,14,193,existing,424.4446017791971,10,55,14,193,existing,424.4446017791971,10,55,14,252,existing,292.14301880021185,10,55,14,193,existing,424.4446017791971
11,11,57,15,193,existing,376.0280494447619,11,57,15,193,existing,376.0280494447619,11,57,15,252,existing,243.72646646577664,11,57,15,193,existing,376.0280494447619
12,12,57,16,193,existing,1104.287948171775,12,57,16,193,existing,1104.287948171775,12,57,16,144,existing,1009.0945279473768,12,57,16,193,existing,1104.287948171775
13,13,57,17,193,existing,1075.429691073536,13,57,17,193,existing,1075.429691073536,13,57,17,144,existing,980.236270849138,13,57,17,193,existing,1075.429691073536
14,14,57,18,193,existing,622.1563662124414,14,57,18,193,existing,622.1563662124414,14,57,18,144,existing,644.2001598177006,14,57,18,193,existing,622.1563662124414
15,15,57,19,193,existing,573.4851281033584,15,57,19,193,existing,573.4851281033584,15,57,19,144,existing,595.5289217086176,15,57,19,193,existing,573.4851281033584
16,16,55,20,193,existing,517.9085487826449,16,55,20,193,existing,517.9085487826449,16,55,20,144,existing,539.952342387904,16,55,20,193,existing,517.9085487826449
17,17,55,21,193,existing,620.759056382018,17,55,21,193,existing,620.759056382018,17,55,21,144,existing,642.8028499872772,17,55,21,193,existing,620.759056382018
18,18,56,22,193,existing,821.0390640597004,18,56,22,193,existing,821.0390640597004,18,56,22,144,existing,858.2852224827524,18,56,22,193,existing,821.0390640597004
19,19,57,23,193,existing,739.53851268168,19,57,23,193,existing,739.53851268168,19,57,23,252,existing,871.8400956606652,19,57,23,193,existing,739.53851268168
20,20,61,24,26,existing,19.509726438250734,20,61,24,26,existing,19.509726438250734,20,61,24,180,existing,630.5422724770955,20,61,24,26,existing,19.509726438250734
21,21,61,25,26,existing,210.5077893561151,21,61,25,26,existing,210.5077893561151,21,61,25,180,existing,435.98706861707404,21,61,25,26,existing,210.5077893561151
22,22,61,27,26,existing,192.16947420921667,22,61,27,26,existing,192.16947420921667,22,61,27,180,existing,449.20012752483103,22,61,27,26,existing,192.16947420921667
23,23,54,28,318,existing,808.1868494516751,23,54,28,318,existing,808.1868494516751,23,54,28,147,existing,463.1576399549406,23,54,28,26,existing,1075.425599247324
24,24,62,29,318,existing,495.2450579973804,24,62,29,318,existing,495.2450579973804,24,62,29,147,existing,395.98256696677026,24,62,29,26,existing,762.4838077930292
25,25,55,30,193,existing,543.075798279498,25,55,30,323,existing,516.2034721062985,25,55,30,252,existing,413.4031408960515,25,55,30,193,existing,543.075798279498
26,26,57,31,193,existing,456.9309040580696,26,57,31,193,existing,456.9309040580696,26,57,31,144,existing,478.9746976633288,26,57,31,193,existing,456.9309040580696
27,27,61,32,26,existing,590.4205470465787,27,61,32,26,existing,590.4205470465787,27,61,32,180,existing,243.51882246979937,27,61,32,26,existing,590.4205470465787
28,28,61,33,26,existing,149.23362463208906,28,61,33,26,existing,149.23362463208906,28,61,33,180,existing,722.0088156623756,28,61,33,26,existing,149.23362463208906
29,29,61,34,26,existing,217.68141520071634,29,61,34,26,existing,217.68141520071634,29,61,34,180,existing,653.5610250937482,29,61,34,26,existing,217.68141520071634
30,30,61,36,26,existing,399.18388129159854,30,61,36,26,existing,399.18388129159854,30,61,36,180,existing,472.0585590028661,30,61,36,26,existing,399.18388129159854
31,31,62,37,318,existing,1148.7274839217196,31,62,37,318,existing,1148.7274839217196,31,62,37,147,existing,759.7721842636804,31,62,37,26,existing,1415.9662337173684
32,32,62,38,318,existing,1009.8448335859518,32,62,38,318,existing,1009.8448335859518,32,62,38,147,existing,620.8895339279126,32,62,38,26,existing,1277.0835833816006
33,33,58,40,126,existing,403.4473649887878,33,58,40,126,existing,403.4473649887878,33,58,40,95,existing,461.0305513382865,33,58,40,126,existing,403.4473649887878
34,34,58,41,126,existing,595.5994545511488,34,58,41,126,existing,595.5994545511488,34,58,41,95,existing,625.5261260838851,34,58,41,126,existing,595.5994545511488
35,35,59,42,126,existing,490.8521305079146,35,59,42,126,existing,490.8521305079146,35,59,42,95,existing,520.7788020406508,35,59,42,126,existing,490.8521305079146
36,36,55,43,193,existing,1046.31951975584,36,55,43,193,existing,1046.31951975584,36,55,43,144,existing,951.1260995314419,36,55,43,193,existing,1046.31951975584
37,37,56,44,193,existing,1121.4599571607641,37,56,44,193,existing,1121.4599571607641,37,56,44,144,existing,1026.2665369363658,37,56,44,193,existing,1121.4599571607641
38,38,57,45,193,existing,495.37064823203787,38,57,45,323,existing,468.49832205883826,38,57,45,252,existing,584.5216734950181,38,57,45,193,existing,495.37064823203787
39,39,55,46,193,existing,445.6181379237153,39,55,46,323,existing,418.7458117505157,39,55,46,252,existing,534.7691631866957,39,55,46,193,existing,445.6181379237153
40,40,55,47,193,existing,975.2713671323868,40,55,47,193,existing,975.2713671323868,40,55,47,144,existing,880.0779469079886,40,55,47,193,existing,975.2713671323868
41,41,56,48,193,existing,922.1853664647247,41,56,48,193,existing,922.1853664647247,41,56,48,144,existing,826.9919462403263,41,56,48,193,existing,922.1853664647247
42,42,62,49,318,existing,1356.2725865554758,42,62,49,318,existing,1356.2725865554758,42,62,49,147,existing,627.4869065773844,42,62,49,26,existing,1623.5113363511246
43,43,62,52,318,existing,1471.2742219212128,43,62,52,318,existing,1471.2742219212128,43,62,52,147,existing,742.4885419431215,43,62,52,26,existing,1738.5129717168616
44,44,57,56,193,existing,496.42793493331686,44,57,56,193,existing,496.42793493331686,44,57,56,252,existing,364.1263519543316,44,57,56,193,existing,496.42793493331686
45,45,57,65,193,existing,315.8772242568534,45,57,65,193,existing,315.8772242568534,45,57,65,252,existing,183.57564127786816,45,57,65,193,existing,315.8772242568534
46,46,57,66,193,existing,444.77564734014027,46,57,66,193,existing,444.77564734014027,46,57,66,144,existing,294.972279989414,46,57,66,193,existing,444.77564734014027
47,47,58,72,126,existing,869.1944386778438,47,58,72,126,existing,869.1944386778438,47,58,72,180,existing,519.8600716247271,47,58,72,126,existing,869.1944386778438
48,48,58,73,126,existing,921.7771914962108,48,58,73,126,existing,921.7771914962108,48,58,73,180,existing,572.442824443094,48,58,73,126,existing,921.7771914962108
49,49,59,75,126,existing,727.0115490035719,49,59,75,126,existing,727.0115490035719,49,59,75,95,existing,103.00228249981161,49,59,75,126,existing,727.0115490035719
50,50,57,76,193,existing,655.9059105733286,50,57,76,323,existing,629.033584400129,50,57,76,95,existing,436.45710787248487,50,57,76,193,existing,655.9059105733286
51,51,57,77,193,existing,829.7011094392572,51,57,77,193,existing,829.7011094392572,51,57,77,144,existing,734.5076892148588,51,57,77,193,existing,829.7011094392572
52,52,60,81,278,existing,204.32104364962868,52,60,81,278,existing,204.32104364962868,52,60,81,180,existing,670.1208191351025,52,60,81,278,existing,204.32104364962868
53,53,62,82,318,existing,324.6296222532909,53,62,82,318,existing,324.6296222532909,53,62,82,180,existing,329.2837261238302,53,62,82,26,existing,353.43227887664614
54,54,54,83,318,existing,496.87501997456843,54,54,83,318,existing,496.87501997456843,54,54,83,180,existing,169.79176772718992,54,54,83,26,existing,525.6776765979237
55,55,61,84,26,existing,244.5945237887439,55,61,84,26,existing,244.5945237887439,55,61,84,180,existing,433.02748455872745,55,61,84,26,existing,244.5945237887439
56,56,61,85,26,existing,227.41591100176947,56,61,85,26,existing,227.41591100176947,56,61,85,180,existing,435.9871655308517,56,61,85,26,existing,227.41591100176947
57,57,56,86,193,existing,415.1613153386343,57,56,86,193,existing,415.1613153386343,57,56,86,252,existing,282.85973235964906,57,56,86,193,existing,415.1613153386343
58,58,61,87,26,existing,518.320212442381,58,61,87,26,existing,518.320212442381,58,61,87,180,existing,138.91419679845896,58,61,87,26,existing,518.320212442381
59,59,61,88,26,existing,587.496685273047,59,61,88,26,existing,587.496685273047,59,61,88,180,existing,208.09066962912485,59,61,88,26,existing,587.496685273047
60,60,61,89,26,existing,385.7823337215222,60,61,89,26,existing,385.7823337215222,60,61,89,180,existing,255.58726801252556,60,61,89,26,existing,385.7823337215222
61,61,62,90,318,existing,511.5161433955302,61,62,90,318,existing,511.5161433955302,61,62,90,180,existing,155.15064430622812,61,62,90,26,existing,534.5566599501502
62,62,62,91,318,existing,549.64080665301,62,62,91,318,existing,549.64080665301,62,62,91,180,existing,193.27530756370788,62,62,91,26,existing,572.6813232076299
63,63,54,92,318,existing,1153.1941283666283,63,54,92,318,existing,1153.1941283666283,63,54,92,147,existing,305.10687089508883,63,54,92,26,existing,1420.4328781622771
