,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_restaurant,assign_to_var_id_restaurant,assign_from_node_id_restaurant,assign_to_node_id_restaurant,assign_type_restaurant,dist_restaurant,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school,assign_from_var_id_healthcare,assign_to_var_id_healthcare,assign_from_node_id_healthcare,assign_to_node_id_healthcare,assign_type_healthcare,dist_healthcare
0,0,200,5,743,existing,595.0859675634036,0,200,5,486,existing,867.7912590164756,0,200,5,849,existing,244.52587722915848,0,200,5,958,existing,1007.8325783837017
1,1,225,8,296,existing,1007.6717995941259,1,225,8,197,existing,1140.8480264669633,1,225,8,688,existing,391.24666081050077,1,225,8,197,existing,1140.8480264669633
2,2,225,9,296,existing,841.5986857516647,2,225,9,197,existing,1120.286171983193,2,225,9,849,existing,545.4317241256805,2,225,9,958,existing,1107.8975737489945
3,3,208,16,197,existing,990.0375395978452,3,208,16,197,existing,990.0375395978452,3,208,16,374,existing,351.71826878262993,3,208,16,197,existing,990.0375395978452
4,4,208,17,197,existing,1087.4906931552382,4,208,17,197,existing,1087.4906931552382,4,208,17,374,existing,449.1714223400227,4,208,17,197,existing,1087.4906931552382
5,5,222,18,658,existing,500.8175075678621,5,222,18,151,existing,528.4896404441539,5,222,18,472,existing,962.7467737385874,5,222,18,808,existing,1020.2770653303546
6,6,222,19,658,existing,453.8361063588235,6,222,19,151,existing,574.1814720934444,6,222,19,472,existing,915.7653725295488,6,222,19,808,existing,978.4061631731864
7,7,216,20,808,existing,258.83850426570064,7,216,20,131,existing,293.2911795165461,7,216,20,399,existing,445.48476223142393,7,216,20,808,existing,258.83850426570064
8,8,214,22,811,existing,334.4284695138216,8,214,22,151,existing,259.706019379121,8,214,22,472,existing,999.1534334320534,8,214,22,554,existing,1197.959245044192
9,9,214,23,811,existing,371.2295980336638,9,214,23,151,existing,296.5071478989633,9,214,23,472,existing,1035.9545619518958,9,214,23,808,existing,1199.680286066563
10,10,200,24,743,existing,238.7491437350513,10,200,24,131,existing,822.2210464475568,10,200,24,849,existing,357.61685856673864,10,200,24,808,existing,787.7683711967113
11,11,200,25,743,existing,298.29514722058263,11,200,25,131,existing,823.2622249939841,11,200,25,768,existing,337.05483497570424,11,200,25,808,existing,788.8095497431387
12,12,200,26,743,existing,441.4024245211223,12,200,26,131,existing,706.8537724429209,12,200,26,768,existing,323.0372699028783,12,200,26,808,existing,672.4010971920756
13,13,200,27,743,existing,514.8782654251256,13,200,27,131,existing,606.6791067894412,13,200,27,768,existing,222.86260424939854,13,200,27,808,existing,572.2264315385958
14,14,202,32,553,existing,174.56469340671015,14,202,32,554,existing,260.12941827048456,14,202,32,472,existing,2119.9070634400823,14,202,32,554,existing,260.12941827048456
