,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_restaurant,assign_to_var_id_restaurant,assign_from_node_id_restaurant,assign_to_node_id_restaurant,assign_type_restaurant,dist_restaurant,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school,assign_from_var_id_healthcare,assign_to_var_id_healthcare,assign_from_node_id_healthcare,assign_to_node_id_healthcare,assign_type_healthcare,dist_healthcare
37,37,37,70,45,existing,738.0231915361959,37,37,70,74,existing,701.0783985644541,37,37,70,4,existing,560.7655410489427,37,37,70,74,existing,701.0783985644541
38,38,38,72,73,existing,34.35740697643692,38,38,72,74,existing,423.8343988941658,38,38,72,68,existing,647.8157434334828,38,38,72,92,existing,205.99074022671886
39,39,37,74,45,existing,36.9447929717418,39,37,74,74,existing,0.0,39,37,74,68,existing,297.87093048280065,39,37,74,74,existing,0.0
40,40,37,75,45,existing,133.19590912821695,40,37,75,74,existing,96.25111615647516,40,37,75,68,existing,229.257617505979,40,37,75,74,existing,96.25111615647516
41,41,37,76,45,existing,163.60197507714048,41,37,76,74,existing,126.65718210539869,41,37,76,68,existing,259.6636834549025,41,37,76,74,existing,126.65718210539869
42,42,37,77,45,existing,608.2300771451601,42,37,77,74,existing,571.2852841734184,42,37,77,4,existing,465.98667235297927,42,37,77,74,existing,571.2852841734184
43,43,37,78,45,existing,683.611932038029,43,37,78,74,existing,646.6671390662872,43,37,78,4,existing,541.3685272458481,43,37,78,74,existing,646.6671390662872
44,44,37,80,45,existing,728.3583465652669,44,37,80,74,existing,765.3031395370087,44,37,80,4,existing,431.2210662583383,44,37,80,74,existing,765.3031395370087
45,45,37,81,45,existing,628.3306707460268,45,37,81,74,existing,665.2754637177687,45,37,81,4,existing,331.1933904390983,45,37,81,74,existing,665.2754637177687
46,46,38,84,73,existing,637.7401596410136,46,38,84,74,existing,640.6069615659694,46,38,84,68,existing,773.6134629154731,46,38,84,74,existing,640.6069615659694
47,47,38,85,73,existing,824.0484502573565,47,38,85,74,existing,813.7443847130147,47,38,85,4,existing,716.8607477048561,47,38,85,74,existing,813.7443847130147
48,48,38,86,73,existing,657.6748380590559,48,38,86,74,existing,647.3707725147142,48,38,86,4,existing,551.3309962739676,48,38,86,74,existing,647.3707725147142
49,49,37,87,45,existing,662.9466917398531,49,37,87,74,existing,626.0018987681113,49,37,87,4,existing,485.68904125259996,49,37,87,74,existing,626.0018987681113
50,50,37,88,45,existing,795.0834357034499,50,37,88,74,existing,832.0282286751918,50,37,88,4,existing,497.9461553965215,50,37,88,74,existing,832.0282286751918
51,51,37,90,45,existing,700.1138709744772,51,37,90,74,existing,737.0586639462191,51,37,90,4,existing,402.97659066754875,51,37,90,74,existing,737.0586639462191
52,52,37,91,45,existing,717.148069952624,52,37,91,74,existing,735.9727661240813,52,37,91,4,existing,420.01078964569547,52,37,91,74,existing,735.9727661240813
53,53,39,92,92,existing,0.0,53,39,92,74,existing,561.1103251680108,53,39,92,68,existing,785.0916697073278,53,39,92,92,existing,0.0
54,54,38,93,73,existing,890.2351708331428,54,38,93,74,existing,879.931105288801,54,38,93,4,existing,783.8913290480543,54,38,93,74,existing,879.931105288801
55,55,38,94,73,existing,745.9853138360347,55,38,94,74,existing,735.6812482916929,55,38,94,4,existing,639.6414720509463,55,38,94,74,existing,735.6812482916929
56,56,38,99,73,existing,238.1189709286252,56,38,99,74,existing,227.98666293432325,56,38,99,68,existing,467.6839225523463,56,38,99,74,existing,227.98666293432325
57,57,37,102,45,existing,502.3728248711109,57,37,102,74,existing,465.4280318993691,57,37,102,4,existing,390.9549670576823,57,37,102,74,existing,465.4280318993691
58,58,37,109,45,existing,503.1323650508558,58,37,109,74,existing,466.18757207911403,58,37,109,4,existing,241.40801964227467,58,37,109,74,existing,466.18757207911403
59,59,38,116,73,existing,584.7773563329251,59,38,116,74,existing,565.9417571819472,59,38,116,4,existing,469.9019809412005,59,38,116,74,existing,565.9417571819472
60,60,37,118,45,existing,308.75696675936206,60,37,118,74,existing,345.70175973110383,60,37,118,68,existing,195.67294711450103,60,37,118,74,existing,345.70175973110383
61,61,37,123,45,existing,1156.959348956832,61,37,123,74,existing,1193.9041419285738,61,37,123,4,existing,859.8220686499035,61,37,123,74,existing,1193.9041419285738
62,62,37,124,45,existing,1297.0120628851853,62,37,124,74,existing,1294.6017568782745,62,37,124,4,existing,999.8747825782568,62,37,124,74,existing,1294.6017568782745
63,63,37,125,45,existing,1174.7859898891038,63,37,125,74,existing,1137.8411969173621,63,37,125,4,existing,997.5283394018506,63,37,125,74,existing,1137.8411969173621
64,64,37,126,45,existing,970.1148786210274,64,37,126,74,existing,933.1700856492857,64,37,126,4,existing,792.8572281337742,64,37,126,74,existing,933.1700856492857
65,65,37,127,45,existing,1016.0643033755617,65,37,127,74,existing,1053.0090963473035,65,37,127,4,existing,718.9270230686332,65,37,127,74,existing,1053.0090963473035
66,66,37,128,45,existing,864.1422204808849,66,37,128,74,existing,901.0870134526268,66,37,128,4,existing,567.0049401739565,66,37,128,74,existing,901.0870134526268
67,67,37,129,45,existing,731.9366182504242,67,37,129,74,existing,768.8814112221661,67,37,129,4,existing,434.7993379434957,67,37,129,74,existing,768.8814112221661
68,68,37,130,45,existing,962.9941770042248,68,37,130,74,existing,999.9389699759666,68,37,130,4,existing,665.8568966972962,68,37,130,74,existing,999.9389699759666
69,69,37,131,45,existing,79.85052999395734,69,37,131,74,existing,42.90573702221553,69,37,131,68,existing,282.60299664023864,69,37,131,74,existing,42.90573702221553
70,70,37,134,45,existing,618.3176807810735,70,37,134,74,existing,655.2624737528154,70,37,134,4,existing,321.18040047414496,70,37,134,74,existing,655.2624737528154
71,71,38,135,73,existing,811.6471167165906,71,38,135,74,existing,814.5139186415464,71,38,135,4,existing,742.9520120656507,71,38,135,74,existing,814.5139186415464
72,72,37,136,45,existing,763.598344577875,72,37,136,74,existing,726.6535516061331,72,37,136,4,existing,619.5330668381797,72,37,136,74,existing,726.6535516061331
73,73,37,139,45,existing,335.12829237894135,73,37,139,74,existing,298.1834994071996,73,37,139,68,existing,431.19000075670345,73,37,139,74,existing,298.1834994071996
74,74,38,140,73,existing,549.164612277341,74,38,140,74,existing,552.0314142022968,74,38,140,68,existing,685.0379155518006,74,38,140,74,existing,552.0314142022968
75,75,36,141,92,existing,195.54731839694938,75,36,141,74,existing,756.6576435649603,75,36,141,68,existing,980.6389881042772,75,36,141,92,existing,195.54731839694938
76,76,37,142,45,existing,690.0881713598392,76,37,142,74,existing,727.0329643315811,76,37,142,4,existing,392.9508910529107,76,37,142,74,existing,727.0329643315811
77,77,37,147,45,existing,256.9608725779475,77,37,147,74,existing,220.01607960620572,77,37,147,68,existing,353.0225809557096,77,37,147,74,existing,220.01607960620572
78,78,38,148,73,existing,749.7264270841322,78,38,148,74,existing,730.8908279331542,78,38,148,4,existing,628.259723268353,78,38,148,74,existing,730.8908279331542
79,79,38,149,73,existing,928.4086726601513,79,38,149,74,existing,931.2754745851071,79,38,149,68,existing,1064.2819759346107,79,38,149,74,existing,931.2754745851071
80,80,38,151,73,existing,459.0065443597939,80,38,151,74,existing,461.8733462847497,80,38,151,68,existing,594.8798476342535,80,38,151,74,existing,461.8733462847497
81,81,38,155,73,existing,1402.5584182073885,81,38,155,74,existing,1392.2543526630466,81,38,155,4,existing,1296.2145764223,81,38,155,74,existing,1392.2543526630466
82,82,37,156,45,existing,946.7529680234428,82,37,156,74,existing,983.6977609951847,82,37,156,4,existing,649.6156877165142,82,37,156,74,existing,983.6977609951847
83,83,38,161,73,existing,936.1894226989443,83,38,161,74,existing,925.8853571546025,83,38,161,4,existing,829.8455809138559,83,38,161,74,existing,925.8853571546025
84,84,37,162,45,existing,588.8941766382663,84,37,162,74,existing,625.8389696100081,84,37,162,68,existing,327.9680391272075,84,37,162,74,existing,625.8389696100081
