,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school,assign_from_var_id_healthcare,assign_to_var_id_healthcare,assign_from_node_id_healthcare,assign_to_node_id_healthcare,assign_type_healthcare,dist_healthcare,0_assign_from_var_id_restaurant,0_assign_to_var_id_restaurant,0_assign_from_node_id_restaurant,0_assign_to_node_id_restaurant,0_assign_type_restaurant,0_dist_restaurant,1_assign_from_var_id_restaurant,1_assign_to_var_id_restaurant,1_assign_from_node_id_restaurant,1_assign_to_node_id_restaurant,1_assign_type_restaurant,1_dist_restaurant,2_assign_from_var_id_restaurant,2_assign_to_var_id_restaurant,2_assign_from_node_id_restaurant,2_assign_to_node_id_restaurant,2_assign_type_restaurant,2_dist_restaurant
0,0,91,0,276,existing,964.446411511515,0,91,0,149,existing,759.9658562739091,0,91,0,320,allocated,335.24323403725333,0,95,0,273,existing,1323.5583105368999,0,94,0,394,existing,1627.7902656813044,0,93,0,47,existing,1712.3313959764928
1,1,92,1,276,existing,879.811141284705,1,92,1,149,existing,675.3305860470991,1,92,1,320,allocated,419.8785042640633,1,95,1,273,existing,1238.9230403100898,1,93,1,47,existing,1627.6961257496828,1,94,1,394,existing,1712.4255359081144
2,2,89,3,273,existing,771.8191295857703,2,89,3,375,existing,361.36511552354403,2,89,3,42,allocated,141.34656623779367,2,95,3,273,existing,771.8191295857703,2,93,3,47,existing,1884.5940704755385,2,94,3,394,existing,2160.871882536418
3,3,89,4,273,existing,778.2466467789923,3,89,4,44,existing,435.262032402258,3,89,4,60,allocated,69.66062530625932,3,94,4,394,existing,610.8061061716555,3,95,4,273,existing,778.2466467789923,3,93,4,47,existing,2449.331385713229
4,4,90,5,273,existing,707.3736999610633,4,90,5,44,existing,434.7414765164995,4,90,5,5,allocated,0.0,4,94,5,394,existing,681.6790529895845,4,95,5,273,existing,707.3736999610633,4,93,5,47,existing,2520.204332531158
5,5,89,6,273,existing,574.8045864289983,5,89,6,44,existing,396.189845778524,5,89,6,6,allocated,0.0,5,95,6,273,existing,574.8045864289983,5,94,6,394,existing,814.2481665216494,5,93,6,47,existing,2604.9707040891467
6,6,90,8,273,existing,605.6830660348891,6,90,8,44,existing,365.31136617263326,6,90,8,6,allocated,30.878479605890753,6,95,8,273,existing,605.6830660348891,6,94,8,394,existing,814.3478193423962,6,93,8,47,existing,2574.092224483256
7,7,90,9,273,existing,653.4990295434469,7,90,9,44,existing,275.0839601015959,7,90,9,20,allocated,99.77013935868223,7,95,9,273,existing,653.4990295434469,7,94,9,394,existing,904.5752254134336,7,93,9,47,existing,2483.8648184122185
8,8,89,13,273,existing,572.6214429885744,8,89,13,155,existing,593.4230149162048,8,89,13,116,allocated,125.57922590492862,8,95,13,273,existing,572.6214429885744,8,94,13,394,existing,1071.0038617639111,8,93,13,47,existing,2422.6542986719155
9,9,90,14,273,existing,633.4634681509439,9,90,14,219,existing,487.3614552561488,9,90,14,234,allocated,344.2728410476988,9,95,14,273,existing,633.4634681509439,9,94,14,394,existing,1235.4751528583201,9,93,14,47,existing,2087.486482061108
10,10,90,15,273,existing,679.9513553000365,10,90,15,219,existing,533.8493424052416,10,90,15,320,allocated,358.2438963235363,10,95,15,273,existing,679.9513553000365,10,94,15,394,existing,1281.9630400074127,10,93,15,47,existing,2133.9743692102006
11,11,89,18,273,existing,977.9034126036976,11,89,18,44,existing,436.4540510671161,11,89,18,59,allocated,423.68558281914954,11,94,18,394,existing,837.3774008655644,11,95,18,273,existing,977.9034126036976,11,93,18,47,existing,2628.190658150609
12,12,89,19,273,existing,1026.4254817452108,12,89,19,44,existing,387.9319819256028,12,89,19,59,allocated,375.1635136776363,12,94,19,394,existing,788.8553317240511,12,95,19,273,existing,1026.4254817452108,12,93,19,47,existing,2627.380611265624
13,13,89,20,273,existing,553.7288901847646,13,89,20,44,existing,350.1535517282134,13,89,20,20,allocated,0.0,13,95,20,273,existing,553.7288901847646,13,94,20,394,existing,1004.3453647721158,13,93,20,47,existing,2384.0946790535363
14,14,90,22,273,existing,341.5204651293925,14,90,22,90,existing,485.9584790787312,14,90,22,351,allocated,79.60854419961275,14,95,22,273,existing,341.5204651293925,14,94,22,394,existing,1109.7872829870971,14,93,22,47,existing,2468.89418819401
15,15,89,24,273,existing,334.73040544950084,15,89,24,375,existing,233.45347299994125,15,89,24,355,allocated,193.4435400840909,15,95,24,273,existing,334.73040544950084,15,94,24,394,existing,1723.7831584001485,15,93,24,47,existing,1794.0464573573963
16,16,92,25,276,existing,831.6270985409226,16,92,25,215,existing,433.6656508065427,16,92,25,42,allocated,398.737789312874,16,95,25,273,existing,1029.2103526608505,16,93,25,47,existing,1917.2465069496714,16,94,25,394,existing,2418.2631056114983
17,17,92,26,276,existing,901.030676004856,17,92,26,215,existing,503.06922827047606,17,92,26,42,allocated,468.14136677680733,17,95,26,273,existing,1098.613930124784,17,93,26,47,existing,1986.6500844136049,17,94,26,394,existing,2487.6666830754316
18,18,92,27,276,existing,509.119889369821,18,92,27,149,existing,182.29660574215413,18,92,27,150,allocated,99.06717375607471,18,95,27,273,existing,1034.754194899541,18,93,27,47,existing,1603.3008694482326,18,94,27,394,existing,2423.806947850189
19,19,92,28,276,existing,575.8501818802958,19,92,28,215,existing,171.31164551529665,19,92,28,150,allocated,165.7974662665495,19,95,28,273,existing,1001.5206984028836,19,93,28,47,existing,1670.0311619587073,19,94,28,394,existing,2390.5734513535317
20,20,92,29,276,existing,896.2918707545555,20,92,29,215,existing,377.61679061821997,20,92,29,204,allocated,263.1273298558562,20,95,29,273,existing,1395.5506208002646,20,93,29,47,existing,2008.9558793666115,20,94,29,394,existing,2784.603373750913
21,21,91,30,276,existing,1030.8835464253175,21,91,30,215,existing,512.2084662889821,21,91,30,100,allocated,340.6751023187452,21,95,30,273,existing,1260.9589451295024,21,93,30,47,existing,2143.5475550373735,21,94,30,394,existing,2650.011698080151
22,22,88,31,34,existing,402.37202210404047,22,88,31,149,existing,660.9840712712708,22,88,31,31,allocated,0.0,22,93,31,47,existing,1213.4090272967107,22,95,31,273,existing,1513.4416604286578,22,94,31,394,existing,2891.558813136548
23,23,92,35,276,existing,598.8705347581498,23,92,35,149,existing,394.389979520544,23,92,35,248,allocated,169.56245552871556,23,95,35,273,existing,957.9824337835347,23,93,35,47,existing,1346.7555192231275,23,94,35,394,existing,1993.3661424346697
24,24,91,36,276,existing,701.4053106404859,24,91,36,149,existing,496.92475540288007,24,91,36,248,allocated,272.09723141105167,24,95,36,273,existing,1060.5172096658707,24,93,36,47,existing,1449.2902951054634,24,94,36,394,existing,2095.9009183170056
25,25,89,37,273,existing,1242.2787922173532,25,89,37,215,existing,772.6002565202847,25,89,37,37,allocated,0.0,25,95,37,273,existing,1242.2787922173532,25,93,37,47,existing,2337.3319147834886,25,94,37,394,existing,2631.331545168001
26,26,89,39,273,existing,709.762397492027,26,89,39,375,existing,329.1456496508129,26,89,39,66,allocated,79.99053106747078,26,95,39,273,existing,709.762397492027,26,93,39,47,existing,1847.3664948833712,26,94,39,394,existing,2098.815150442675
27,27,89,40,273,existing,665.5678571831836,27,89,40,375,existing,255.11384312095743,27,89,40,42,allocated,35.09529383520702,27,95,40,273,existing,665.5678571831836,27,93,40,47,existing,1921.3983014132268,27,94,40,394,existing,2054.620610133831
28,28,90,42,273,existing,630.4725633479766,28,90,42,375,existing,220.0185492857504,28,90,42,42,allocated,0.0,28,95,42,273,existing,630.4725633479766,28,93,42,47,existing,1956.4935952484338,28,94,42,394,existing,2019.5253162986244
29,29,89,43,273,existing,819.3698614491739,29,89,43,375,existing,408.9158473869476,29,89,43,42,allocated,188.8972981011972,29,95,43,273,existing,819.3698614491739,29,93,43,47,existing,2145.390893349631,29,94,43,394,existing,2208.4226143998217
30,30,90,44,273,existing,704.874549589312,30,90,44,44,existing,0.0,30,90,44,108,allocated,279.5426880336912,30,95,44,273,existing,704.874549589312,30,94,44,394,existing,830.8158238870452,30,93,44,47,existing,2535.240338458084
31,31,90,45,273,existing,634.7621246772779,31,90,45,44,existing,70.11242491203409,31,90,45,108,allocated,209.4302631216571,31,95,45,273,existing,634.7621246772779,31,94,45,394,existing,900.9282487990793,31,93,45,47,existing,2465.1279135460495
32,32,88,46,34,existing,876.6939536437342,32,88,46,149,existing,1488.3624047607045,32,88,46,46,allocated,0.0,32,93,46,47,existing,65.65694845106405,32,94,46,394,existing,1772.868331090509,32,95,46,273,existing,2194.433811257961
33,33,88,47,34,existing,811.03700519267,33,88,47,149,existing,1422.7054563096403,33,88,47,47,allocated,0.0,33,93,47,47,existing,0.0,33,94,47,394,existing,1838.5252795415731,33,95,47,273,existing,2128.776862806897
34,34,92,53,276,existing,779.8731848828774,34,92,53,215,existing,261.1981047465419,34,92,53,204,allocated,22.62732255657404,34,95,53,273,existing,1419.7774907270116,34,93,53,47,existing,1892.5371934949333,34,94,53,394,existing,2808.8302436776594
35,35,90,55,273,existing,468.38440469786315,35,90,55,90,existing,226.53074985435714,35,90,55,55,allocated,0.0,35,95,55,273,existing,468.38440469786315,35,94,55,394,existing,1822.2765119201856,35,93,55,47,existing,2269.842914124732
36,36,89,56,273,existing,1010.783594995815,36,89,56,44,existing,305.90904540650286,36,89,56,59,allocated,293.14057715853625,36,94,56,394,existing,706.8323952049511,36,95,56,273,existing,1010.783594995815,36,93,56,47,existing,2545.357674746524
37,37,90,58,273,existing,960.2128148135234,37,90,58,155,existing,589.1769154359732,37,90,58,320,allocated,77.9824368100495,37,95,58,273,existing,960.2128148135234,37,94,58,394,existing,1214.5645948340016,37,93,58,47,existing,2125.5570668237956
38,38,89,59,273,existing,940.280913568776,38,89,59,44,existing,417.1240058406304,38,89,59,59,allocated,0.0,38,94,59,394,existing,448.77183938187176,38,95,59,273,existing,940.280913568776,38,93,59,47,existing,2287.297118923445
