,dist_grocery,dist_school,0_dist_restaurant,1_dist_restaurant,dist_healthcare
0,846.1461286956225,842.2174360937424,849.0129306205782,2000.0,849.0129306205782
1,726.3066983706026,862.180001645062,729.1735002955584,2000.0,729.1735002955584
2,774.9074037047624,597.6497532175093,737.9626107330207,2000.0,737.9626107330207
3,712.9042088138913,535.6465583266381,675.9594158421496,2000.0,675.9594158421496
4,444.96261517756864,0.0,481.9074081493104,2000.0,481.9074081493104
5,440.0982675501324,118.43298994027177,477.04306052187417,2000.0,477.04306052187417
6,390.8307902094615,524.0410728163715,391.03457146686765,2000.0,391.03457146686765
7,471.705696037623,604.915978644533,471.90947729502915,2000.0,471.90947729502915
8,217.45928625655262,524.3816730955702,326.7370173091809,2000.0,326.7370173091809
9,78.35348152973583,669.1704667269962,467.8304734474647,2000.0,249.98681478001777
10,881.288680347418,1017.1619836218775,884.1554822723738,2000.0,884.1554822723738
11,564.7230972782704,485.65561282547185,556.7896954083276,2000.0,556.7896954083276
12,643.103655355228,565.9021789777954,637.6171269956963,2000.0,637.6171269956963
13,831.7588782737084,763.0637736227685,834.6256801986642,2000.0,834.6256801986642
14,934.5197568428416,1070.393060117301,937.3865587677974,2000.0,937.3865587677974
15,829.8649043583109,532.7276240513823,866.8096973300528,2000.0,866.8096973300528
16,712.3015169528513,415.1642366459228,749.2463099245932,2000.0,749.2463099245932
17,679.4238431045786,497.5979890706145,716.3686360763204,2000.0,716.3686360763204
18,570.174195918788,480.2045141849542,551.33859676781,2000.0,551.33859676781
19,406.2290543348553,508.64280869097774,375.63630734147387,2000.0,375.63630734147387
20,443.39189474265567,301.1484899504748,406.4471017709139,2000.0,406.4471017709139
21,518.8270961743237,376.58369138214283,481.88230320258197,2000.0,481.88230320258197
22,620.4394701735388,323.30218986661026,657.3842631452807,2000.0,657.3842631452807
23,527.9909854053037,230.85370509837514,564.9357783770455,2000.0,564.9357783770455
24,514.395125987479,337.13747550022583,477.4503330157372,2000.0,477.4503330157372
25,460.8990175901918,283.64136710293866,423.95422461845004,2000.0,423.95422461845004
26,511.86283505764845,250.93669754658964,548.8076280293902,2000.0,548.8076280293902
27,318.8460268641353,422.9949324879875,289.98843113848375,2000.0,289.98843113848375
28,302.98382803883163,438.85713131329123,305.8506299637874,2000.0,305.8506299637874
29,941.3159819662169,644.1787016592883,978.2607749379588,2000.0,978.2607749379588
30,659.0205507074755,481.7629002202224,622.0757577357338,2000.0,622.0757577357338
31,632.5573545991238,455.2997041118706,595.612561627382,2000.0,595.612561627382
32,780.4135009393132,483.27622063238465,817.3582939110551,2000.0,817.3582939110551
33,190.29960058112295,77.2155809362619,227.24439355286475,2000.0,227.24439355286475
34,278.6478993697466,165.56387972488557,315.5926923414884,2000.0,315.5926923414884
35,393.4996333359958,96.36235302906725,430.44442630773756,2000.0,430.44442630773756
36,241.49955558726924,128.4155359424082,278.444348559011,2000.0,278.444348559011
37,738.0231915361959,560.7655410489427,701.0783985644541,2000.0,701.0783985644541
38,34.35740697643692,647.8157434334828,423.8343988941658,2000.0,205.99074022671886
39,36.9447929717418,297.87093048280065,0.0,2000.0,0.0
40,133.19590912821695,229.257617505979,96.25111615647516,2000.0,96.25111615647516
41,163.60197507714048,259.6636834549025,126.65718210539869,2000.0,126.65718210539869
42,608.2300771451601,465.98667235297927,571.2852841734184,2000.0,571.2852841734184
43,683.611932038029,541.3685272458481,646.6671390662872,2000.0,646.6671390662872
44,728.3583465652669,431.2210662583383,765.3031395370087,2000.0,765.3031395370087
45,628.3306707460268,331.1933904390983,665.2754637177687,2000.0,665.2754637177687
46,637.7401596410136,773.6134629154731,640.6069615659694,2000.0,640.6069615659694
47,824.0484502573565,716.8607477048561,813.7443847130147,2000.0,813.7443847130147
48,657.6748380590559,551.3309962739676,647.3707725147142,2000.0,647.3707725147142
49,662.9466917398531,485.68904125259996,626.0018987681113,2000.0,626.0018987681113
50,795.0834357034499,497.9461553965215,832.0282286751918,2000.0,832.0282286751918
51,700.1138709744772,402.97659066754875,737.0586639462191,2000.0,737.0586639462191
