,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school,assign_from_var_id_healthcare,assign_to_var_id_healthcare,assign_from_node_id_healthcare,assign_to_node_id_healthcare,assign_type_healthcare,dist_healthcare,0_assign_from_var_id_restaurant,0_assign_to_var_id_restaurant,0_assign_from_node_id_restaurant,0_assign_to_node_id_restaurant,0_assign_type_restaurant,0_dist_restaurant,1_assign_from_var_id_restaurant,1_assign_to_var_id_restaurant,1_assign_from_node_id_restaurant,1_assign_to_node_id_restaurant,1_assign_type_restaurant,1_dist_restaurant,2_assign_from_var_id_restaurant,2_assign_to_var_id_restaurant,2_assign_from_node_id_restaurant,2_assign_to_node_id_restaurant,2_assign_type_restaurant,2_dist_restaurant,3_assign_from_var_id_restaurant,3_assign_to_var_id_restaurant,3_assign_from_node_id_restaurant,3_assign_to_node_id_restaurant,3_assign_type_restaurant,3_dist_restaurant
19,19,38,36,73,existing,406.2290543348553,19,38,36,68,existing,508.64280869097774,19,38,36,74,allocated,375.63630734147387,19,16,36,74,allocated,375.63630734147387,19,40,36,74,existing,375.63630734147387,19,17,36,81,allocated,794.8072456949278,19,17,36,81,allocated,794.8072456949278
20,20,0,37,2,allocated,331.51550896210676,20,0,37,4,existing,301.1484899504748,20,0,37,2,allocated,331.51550896210676,20,40,37,74,existing,406.4471017709139,20,16,37,74,allocated,406.4471017709139,20,17,37,81,allocated,455.4194695609349,20,17,37,81,allocated,455.4194695609349
21,21,0,38,2,allocated,406.95071039377484,21,0,38,4,existing,376.58369138214283,21,0,38,2,allocated,406.95071039377484,21,16,38,74,allocated,481.88230320258197,21,40,38,74,existing,481.88230320258197,21,17,38,81,allocated,530.8546709926029,21,17,38,81,allocated,530.8546709926029
22,22,10,39,47,allocated,119.31595956868624,22,10,39,81,allocated,192.7881701089583,22,10,39,47,allocated,119.31595956868624,22,17,39,81,allocated,192.7881701089583,22,17,39,81,allocated,192.7881701089583,22,16,39,74,allocated,657.3842631452807,22,40,39,74,existing,657.3842631452807
23,23,10,40,47,allocated,26.86747480045112,23,10,40,81,allocated,100.33968534072316,23,10,40,47,allocated,26.86747480045112,23,17,40,81,allocated,100.33968534072316,23,17,40,81,allocated,100.33968534072316,23,16,40,74,allocated,564.9357783770455,23,40,40,74,existing,564.9357783770455
24,24,0,41,2,allocated,260.5122777172835,24,0,41,4,existing,337.13747550022583,24,0,41,2,allocated,260.5122777172835,24,16,41,74,allocated,477.4503330157372,24,40,41,74,existing,477.4503330157372,24,17,41,81,allocated,491.4084551106859,24,17,41,81,allocated,491.4084551106859
25,25,0,42,2,allocated,314.0083861145706,25,0,42,4,existing,283.64136710293866,25,0,42,2,allocated,314.0083861145706,25,16,42,74,allocated,423.95422461845004,25,40,42,74,existing,423.95422461845004,25,17,42,81,allocated,437.9123467133988,25,17,42,81,allocated,437.9123467133988
26,26,10,48,47,allocated,47.47900495439916,26,10,48,81,allocated,120.9512154946712,26,10,48,47,allocated,47.47900495439916,26,17,48,81,allocated,120.9512154946712,26,17,48,81,allocated,120.9512154946712,26,16,48,74,allocated,548.8076280293902,26,40,48,74,existing,548.8076280293902
27,27,38,49,73,existing,318.8460268641353,27,38,49,68,existing,422.9949324879875,27,38,49,74,existing,289.98843113848375,27,40,49,74,existing,289.98843113848375,27,16,49,74,allocated,289.98843113848375,27,17,49,81,allocated,783.8104217166295,27,17,49,81,allocated,783.8104217166295
28,28,38,50,73,existing,302.98382803883163,28,38,50,68,existing,438.85713131329123,28,38,50,74,allocated,305.8506299637874,28,16,50,74,allocated,305.8506299637874,28,40,50,74,existing,305.8506299637874,28,17,50,81,allocated,799.6726205419333,28,17,50,81,allocated,799.6726205419333
29,29,10,55,47,allocated,440.19247136136426,29,10,55,81,allocated,513.6646819016363,29,10,55,47,allocated,440.19247136136426,29,17,55,81,allocated,513.6646819016363,29,17,55,81,allocated,513.6646819016363,29,16,55,74,allocated,978.2607749379588,29,40,55,74,existing,978.2607749379588
30,30,0,59,2,allocated,148.16913091163514,30,0,59,4,existing,481.7629002202224,30,0,59,2,allocated,148.16913091163514,30,17,59,81,allocated,605.5613656538122,30,17,59,81,allocated,605.5613656538122,30,16,59,74,allocated,622.0757577357338,30,40,59,74,existing,622.0757577357338
31,31,0,60,2,allocated,142.3500491056387,31,0,60,4,existing,455.2997041118706,31,0,60,2,allocated,142.3500491056387,31,16,60,74,allocated,595.612561627382,31,40,60,74,existing,595.612561627382,31,17,60,81,allocated,609.5706837223306,31,17,60,81,allocated,609.5706837223306
32,32,10,61,47,allocated,279.2899903344606,32,10,61,81,allocated,352.7622008747326,32,10,61,47,allocated,279.2899903344606,32,17,61,81,allocated,352.7622008747326,32,17,61,81,allocated,352.7622008747326,32,16,61,74,allocated,817.3582939110551,32,40,61,74,existing,817.3582939110551
33,33,37,64,45,existing,190.29960058112295,33,37,64,68,existing,77.2155809362619,33,37,64,74,allocated,227.24439355286475,33,40,64,74,existing,227.24439355286475,33,16,64,74,allocated,227.24439355286475,33,17,64,81,allocated,438.0310701649039,33,17,64,81,allocated,438.0310701649039
