,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school,assign_from_var_id_healthcare,assign_to_var_id_healthcare,assign_from_node_id_healthcare,assign_to_node_id_healthcare,assign_type_healthcare,dist_healthcare,0_assign_from_var_id_restaurant,0_assign_to_var_id_restaurant,0_assign_from_node_id_restaurant,0_assign_to_node_id_restaurant,0_assign_type_restaurant,0_dist_restaurant,1_assign_from_var_id_restaurant,1_assign_to_var_id_restaurant,1_assign_from_node_id_restaurant,1_assign_to_node_id_restaurant,1_assign_type_restaurant,1_dist_restaurant,2_assign_from_var_id_restaurant,2_assign_to_var_id_restaurant,2_assign_from_node_id_restaurant,2_assign_to_node_id_restaurant,2_assign_type_restaurant,2_dist_restaurant,3_assign_from_var_id_restaurant,3_assign_to_var_id_restaurant,3_assign_from_node_id_restaurant,3_assign_to_node_id_restaurant,3_assign_type_restaurant,3_dist_restaurant
0,0,20,0,75,existing,252.66130917974002,0,20,0,34,existing,499.7063294788054,0,20,0,182,allocated,115.4623816862466,0,29,0,12,existing,533.3424653390435,0,28,0,79,existing,634.3395520097752,0,26,0,80,existing,714.2380146116507,0,27,0,80,existing,714.2380146116507
1,1,19,7,28,existing,62.49551666648289,1,19,7,155,existing,68.50002289145286,1,19,7,81,allocated,53.2132546101546,1,29,7,12,existing,1220.9989074127434,1,28,7,79,existing,1321.9959940834751,1,26,7,80,existing,1423.820014177711,1,27,7,80,existing,1423.820014177711
2,2,17,9,127,existing,124.02550310125956,2,17,9,155,existing,483.0336426353724,2,17,9,127,allocated,124.02550310125956,2,29,9,12,existing,1508.616351192192,2,28,9,79,existing,1609.6134378629238,2,26,9,80,existing,1666.2678070379795,2,27,9,80,existing,1666.2678070379795
3,3,22,15,143,existing,117.23833280234798,3,22,15,180,existing,905.8788258392976,3,22,15,113,allocated,533.4802225447603,3,29,15,12,existing,1567.3042577391734,3,26,15,80,existing,1585.453391647771,3,28,15,79,existing,1668.3013444099051,3,27,15,80,existing,1585.453391647771
4,4,22,16,143,existing,210.74548360487594,4,22,16,180,existing,812.3716750367696,4,22,16,113,allocated,468.14862640822355,4,26,16,80,existing,1491.946240845243,4,27,16,80,existing,1491.946240845243,4,28,16,79,existing,1593.049819871244,4,29,16,12,existing,1501.9726616026367
5,5,23,17,79,existing,41.739416498032284,5,23,17,34,existing,717.4140190871095,5,23,17,79,existing,41.739416498032284,5,28,17,79,existing,41.739416498032284,5,29,17,12,existing,143.28269940038746,5,26,17,80,existing,143.56343659226806,5,27,17,80,existing,143.56343659226806
6,6,25,19,80,existing,42.154586270377784,6,25,19,180,existing,637.4199795380955,6,25,19,19,allocated,0.0,6,27,19,80,existing,42.154586270377784,6,26,19,80,existing,42.154586270377784,6,28,19,79,existing,143.97860636461357,6,29,19,12,existing,245.57014556134595
7,7,21,20,185,existing,336.9134397392044,7,21,20,34,existing,342.8033069156678,7,21,20,141,allocated,253.8928944401781,7,29,20,12,existing,309.3772083792432,7,28,20,79,existing,410.3742950499749,7,26,20,80,existing,512.1983151442107,7,27,20,80,existing,512.1983151442107
8,8,23,21,79,existing,249.60892166553964,8,23,21,34,existing,503.56868030010304,8,23,21,53,allocated,168.6750751762485,8,29,21,12,existing,148.61183499480796,8,28,21,79,existing,249.60892166553964,8,26,21,80,existing,351.4329417597754,8,27,21,80,existing,351.4329417597754
9,9,22,22,143,existing,286.28383029759095,9,22,22,180,existing,1067.8005814135724,9,22,22,113,allocated,509.7586486114277,9,29,22,12,existing,1543.5826838058408,9,26,22,80,existing,1583.9086333226219,9,27,22,80,existing,1583.9086333226219,9,28,22,79,existing,1644.5797704765725
