,dist_grocery,dist_school,0_dist_restaurant,1_dist_restaurant,dist_healthcare
0,449.15304346443685,555.5741140057755,609.5562648159448,2000.0,522.9861198260751
1,436.0806049135866,579.7191272928347,596.4838262650945,2000.0,509.9136812752248
2,880.0866572995908,387.80041158206336,1143.8631350853946,2000.0,1057.2929900955248
3,742.723636040165,250.43739032263753,1006.5001138259688,2000.0,919.9299688360991
4,649.7517255562436,681.5612645256076,810.1549469077515,2000.0,691.7147009985899
5,240.50159278754,384.1401151667881,400.9048141390479,2000.0,314.3346691491782
6,339.8991036223679,483.537626001616,443.8200212143769,2000.0,239.27050027981502
7,370.3656386071632,729.3535153012481,473.4519693000191,2000.0,268.9024483654572
8,544.8742479922355,252.38815626625956,1443.1028937605279,2000.0,302.4742459035025
9,559.9897843529583,165.10854891132504,1355.8232864055935,2000.0,389.75385325843706
10,769.6362717785465,913.2747941577948,521.0270814873167,2000.0,316.47756055275477
11,799.6329421377127,943.2714645169608,626.5180418827898,2000.0,421.96852094822793
12,725.2042584325682,899.5569509511017,458.6221234432454,2000.0,254.07260250868353
13,566.8483446166683,361.76117475103786,958.7966920342014,2000.0,736.4189419795059
14,484.28535134987055,279.055441512422,876.0909587955856,2000.0,671.5414378610238
15,198.64928978112323,397.0102123707,359.05251113263114,2000.0,272.4823661427614
16,412.1419679515386,610.5028905411154,145.55983296221578,2000.0,58.98968797234607
17,372.2952433262055,515.9337657054537,532.6984646777133,2000.0,446.12831968784366
18,423.1924607370155,566.8309831162636,527.1051034711128,2000.0,322.5555825365509
19,447.603588033228,178.56300529125355,1167.1248507054602,2000.0,447.603588033228
20,583.2463559245219,314.20577318254743,1031.4820828141662,2000.0,456.6365751511754
21,557.7018009137544,756.0627235033312,0.0,2000.0,204.54952093456185
22,0.0,797.262404258495,1555.0782487565634,2000.0,107.11942084993137
23,62.56164713617873,734.7007571223164,1492.5166016203848,2000.0,44.557773713752646
24,184.8135236057375,690.9643487111769,1370.264725150826,2000.0,155.50709603268604
25,219.6102972840871,725.7611223895265,1405.0614988291757,2000.0,190.30386971103565
26,425.9979933406026,501.7884105514062,635.0379777453722,2000.0,430.48845681081036
27,339.33419240384967,588.4522114881592,548.3741768086193,2000.0,343.82465587405744
28,679.7195655773114,842.5497712272809,413.13743058798866,2000.0,208.58790965342683
