,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school,assign_from_var_id_healthcare,assign_to_var_id_healthcare,assign_from_node_id_healthcare,assign_to_node_id_healthcare,assign_type_healthcare,dist_healthcare,0_assign_from_var_id_restaurant,0_assign_to_var_id_restaurant,0_assign_from_node_id_restaurant,0_assign_to_node_id_restaurant,0_assign_type_restaurant,0_dist_restaurant,1_assign_from_var_id_restaurant,1_assign_to_var_id_restaurant,1_assign_from_node_id_restaurant,1_assign_to_node_id_restaurant,1_assign_type_restaurant,1_dist_restaurant,2_assign_from_var_id_restaurant,2_assign_to_var_id_restaurant,2_assign_from_node_id_restaurant,2_assign_to_node_id_restaurant,2_assign_type_restaurant,2_dist_restaurant,3_assign_from_var_id_restaurant,3_assign_to_var_id_restaurant,3_assign_from_node_id_restaurant,3_assign_to_node_id_restaurant,3_assign_type_restaurant,3_dist_restaurant
18,18,0,24,11,allocated,340.3870235146315,18,0,24,186,allocated,460.3714104511158,18,0,24,189,existing,322.5555825365509,18,26,24,27,existing,527.1051034711128,18,10,24,98,allocated,592.0621015858395,18,9,24,85,allocated,939.4953904380552,18,21,24,220,allocated,1248.8052338296848
19,19,16,25,157,allocated,15.481150040568526,19,16,25,238,existing,178.56300529125355,19,16,25,157,allocated,15.481150040568526,19,21,25,220,allocated,19.40010850270564,19,9,25,85,allocated,345.635521869394,19,26,25,27,existing,1167.1248507054602,19,10,25,98,allocated,669.4451711694992
20,20,18,26,199,allocated,57.09096809742166,20,18,26,238,existing,314.20577318254743,20,18,26,199,allocated,57.09096809742166,20,21,26,220,allocated,155.04287639399953,20,9,26,85,allocated,209.99275397810015,20,26,26,27,existing,1031.4820828141662,20,10,26,98,allocated,653.5724575605727
21,21,0,27,11,allocated,226.99386902014663,21,0,27,186,allocated,346.97825595663096,21,0,27,27,allocated,0.0,21,26,27,27,existing,0.0,21,10,27,98,allocated,608.9688707538696,21,21,27,220,allocated,1186.524959208166,21,9,27,85,allocated,821.4893288360661
22,22,24,28,28,existing,0.0,22,24,28,66,allocated,223.32319124146363,22,24,28,28,allocated,0.0,22,21,28,220,allocated,716.6149755283665,22,9,28,85,allocated,744.259579767472,22,26,28,27,existing,1555.0782487565634,22,10,28,98,allocated,1180.856739204657
23,23,24,29,28,existing,62.56164713617873,23,24,29,66,allocated,160.7615441052849,23,24,29,29,allocated,0.0,23,21,29,220,allocated,654.0533283921878,23,9,29,85,allocated,681.6979326312934,23,10,29,98,allocated,1118.2950920684784,23,26,29,27,existing,1492.5166016203848
24,24,24,30,28,existing,184.8135236057375,24,24,30,66,allocated,38.509667635726146,24,24,30,66,allocated,38.509667635726146,24,21,30,220,allocated,531.801451922629,24,9,30,85,allocated,559.4460561617345,24,10,30,98,allocated,996.0432155989197,24,26,30,27,existing,1370.264725150826
25,25,24,31,28,existing,219.6102972840871,25,24,31,66,allocated,73.30644131407576,25,24,31,66,allocated,73.30644131407576,25,21,31,220,allocated,566.5982256009786,25,9,31,85,allocated,594.2428298400841,25,26,31,27,existing,1405.0614988291757,25,10,31,98,allocated,1030.8399892772693
26,26,18,33,199,allocated,372.09774112285044,26,18,33,33,allocated,0.0,26,18,33,33,allocated,0.0,26,9,33,85,allocated,186.45135109069392,26,10,33,98,allocated,257.1283524917786,26,21,33,220,allocated,551.4869814627937,26,26,33,27,existing,635.0379777453722
27,27,23,34,127,existing,339.33419240384967,27,23,34,33,allocated,86.6638009367529,27,23,34,33,allocated,86.6638009367529,27,10,34,98,allocated,170.46455155502574,27,9,34,85,allocated,273.1151520274468,27,26,34,27,existing,548.3741768086193,27,21,34,220,allocated,638.1507823995465
28,28,0,35,11,allocated,226.41935063150743,28,0,35,186,allocated,346.40373756799175,28,0,35,189,existing,208.58790965342683,28,26,35,27,existing,413.13743058798866,28,10,35,98,allocated,613.0072594727346,28,9,35,85,allocated,825.5277175549311,28,21,35,220,allocated,1190.563347927031
29,29,23,37,127,existing,742.3192595635722,29,23,37,105,existing,572.4310778100103,29,23,37,71,allocated,508.8458918909977,29,10,37,98,allocated,749.8255109648633,29,9,37,85,allocated,970.5976344392429,29,26,37,27,existing,1164.751431108862,29,21,37,220,allocated,991.0278147685808
30,30,25,38,242,existing,633.1037282540166,30,25,38,105,existing,466.8843301569301,30,25,38,71,allocated,395.3868691141711,30,10,38,98,allocated,636.3664881880367,30,9,38,85,allocated,857.1386116624163,30,26,38,27,existing,1059.2046834557818,30,21,38,220,allocated,877.5687919917542
31,31,18,39,199,allocated,258.052542071961,31,18,39,33,allocated,114.04519905088945,31,18,39,33,allocated,114.04519905088945,31,9,39,85,allocated,114.98721393928555,31,10,39,98,allocated,371.17355154266806,31,21,39,220,allocated,470.1863865633822,31,26,39,27,existing,745.3950610945747
32,32,18,40,199,allocated,451.97859610798685,32,18,40,33,allocated,307.9712530869153,32,18,40,33,allocated,307.9712530869153,32,9,40,85,allocated,308.9132679753114,32,10,40,98,allocated,565.099605578694,32,26,40,27,existing,939.3211151306004,32,21,40,220,allocated,664.112440599408
33,33,23,41,127,existing,1035.6780628173094,33,23,41,105,existing,543.391817099782,33,23,41,98,allocated,1204.5477036661334,33,10,41,98,allocated,1204.5477036661334,33,26,41,27,existing,1299.4545406031132,33,9,41,85,allocated,1648.127407248606,33,21,41,220,allocated,1818.2448091507192
34,34,16,43,157,allocated,311.14490895529076,34,16,43,43,existing,0.0,34,16,43,157,allocated,311.14490895529076,34,21,43,220,allocated,345.8089887759781,34,9,43,85,allocated,514.3100481113378,34,26,43,27,existing,1136.8263882967785,34,10,43,98,allocated,634.452217666819
35,35,16,44,157,allocated,403.6995692937804,35,16,44,43,existing,98.21950504267589,35,16,44,71,allocated,385.4644383672637,35,9,44,85,allocated,416.0905430686619,35,21,44,220,allocated,436.52072339799975,35,10,44,98,allocated,536.2327126241431,35,26,44,27,existing,1038.6068832541025
36,36,18,45,199,allocated,221.19250104118512,36,18,45,66,allocated,107.11495330737922,36,18,45,45,allocated,0.0,36,21,45,220,allocated,386.17683097952363,36,9,45,85,allocated,413.8214352186292,36,10,45,98,allocated,850.4185946558142,36,26,45,27,existing,1224.6401042077207
37,37,18,46,199,allocated,344.20883909663075,37,18,46,66,allocated,230.1312913628248,37,18,46,45,allocated,123.01633805544557,37,21,46,220,allocated,509.1931690349692,37,9,46,85,allocated,536.8377732740748,37,10,46,98,allocated,973.4349327112598,37,26,46,27,existing,1347.6564422631664
38,38,25,49,242,existing,407.61847858368566,38,25,49,43,existing,313.03394827221473,38,25,49,71,allocated,169.90161944384016,38,9,49,85,allocated,631.6533619920854,38,21,49,220,allocated,652.0835423214232,38,26,49,27,existing,1254.169702177526,38,10,49,98,allocated,751.7955315475667
39,39,23,58,127,existing,549.5747317359379,39,23,58,105,existing,411.6700928799972,39,23,58,189,existing,702.7310585274641,39,10,58,98,allocated,718.4443725847618,39,26,58,27,existing,789.3012035173339,39,9,58,85,allocated,1162.0240761672344,39,21,58,220,allocated,1375.1875048286072
40,40,23,59,127,existing,640.3615885639769,40,23,59,105,existing,473.65866228991854,40,23,59,189,existing,793.517915355503,40,10,59,98,allocated,809.2312294128008,40,26,59,27,existing,880.0880603453727,40,21,59,220,allocated,1465.9743616566461,40,9,59,85,allocated,1252.8109329952733
41,41,16,61,157,allocated,53.19346991239591,41,16,61,238,existing,216.27532516308094,41,16,61,157,allocated,53.19346991239591,41,21,61,220,allocated,57.112428374533025,41,9,61,85,allocated,312.7063000082352,41,10,61,98,allocated,631.7328512976719,41,26,61,27,existing,1132.3435735793905
42,42,16,64,157,allocated,96.1785174492638,42,16,64,238,existing,259.2603726999488,42,16,64,157,allocated,96.1785174492638,42,21,64,220,allocated,100.0974759114009,42,9,64,85,allocated,269.7212524713673,42,10,64,98,allocated,588.747803760804,42,26,64,27,existing,1089.3585260425225
43,43,18,65,199,allocated,147.3347035295864,43,18,65,66,allocated,180.97275081897797,43,18,65,45,allocated,73.85779751159875,43,21,65,220,allocated,312.3190334679249,43,9,65,85,allocated,339.96363770703044,43,26,65,27,existing,1150.7823066961219,43,10,65,98,allocated,776.5607971442155
44,44,16,67,157,allocated,374.03021507539097,44,16,67,33,allocated,172.3742471571,44,16,67,33,allocated,172.3742471571,44,10,67,98,allocated,306.80150262075364,44,9,67,85,allocated,358.26726491554706,44,21,67,220,allocated,382.04377705145123,44,26,67,27,existing,807.4122249024722
