,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school,assign_from_var_id_healthcare,assign_to_var_id_healthcare,assign_from_node_id_healthcare,assign_to_node_id_healthcare,assign_type_healthcare,dist_healthcare,0_assign_from_var_id_restaurant,0_assign_to_var_id_restaurant,0_assign_from_node_id_restaurant,0_assign_to_node_id_restaurant,0_assign_type_restaurant,0_dist_restaurant,1_assign_from_var_id_restaurant,1_assign_to_var_id_restaurant,1_assign_from_node_id_restaurant,1_assign_to_node_id_restaurant,1_assign_type_restaurant,1_dist_restaurant,2_assign_from_var_id_restaurant,2_assign_to_var_id_restaurant,2_assign_from_node_id_restaurant,2_assign_to_node_id_restaurant,2_assign_type_restaurant,2_dist_restaurant,3_assign_from_var_id_restaurant,3_assign_to_var_id_restaurant,3_assign_from_node_id_restaurant,3_assign_to_node_id_restaurant,3_assign_type_restaurant,3_dist_restaurant,4_assign_from_var_id_restaurant,4_assign_to_var_id_restaurant,4_assign_from_node_id_restaurant,4_assign_to_node_id_restaurant,4_assign_type_restaurant,4_dist_restaurant,5_assign_from_var_id_restaurant,5_assign_to_var_id_restaurant,5_assign_from_node_id_restaurant,5_assign_to_node_id_restaurant,5_assign_type_restaurant,5_dist_restaurant,6_assign_from_var_id_restaurant,6_assign_to_var_id_restaurant,6_assign_from_node_id_restaurant,6_assign_to_node_id_restaurant,6_assign_type_restaurant,6_dist_restaurant,7_assign_from_var_id_restaurant,7_assign_to_var_id_restaurant,7_assign_from_node_id_restaurant,7_assign_to_node_id_restaurant,7_assign_type_restaurant,7_dist_restaurant,8_assign_from_var_id_restaurant,8_assign_to_var_id_restaurant,8_assign_from_node_id_restaurant,8_assign_to_node_id_restaurant,8_assign_type_restaurant,8_dist_restaurant,9_assign_from_var_id_restaurant,9_assign_to_var_id_restaurant,9_assign_from_node_id_restaurant,9_assign_to_node_id_restaurant,9_assign_type_restaurant,9_dist_restaurant
0,0,70,2,2,existing,0.0,0,70,2,72,existing,232.43012398005487,0,70,2,2,allocated,0.0,0,82,2,46,existing,349.32828144384195,0,86,2,122,existing,403.0051897786142,0,77,2,47,existing,660.6712236859887,0,85,2,45,existing,447.7620992361411,0,54,2,293,allocated,994.8515511062058,0,78,2,301,existing,1017.6587195037475,0,83,2,277,existing,892.6945111766628,0,79,2,301,existing,1017.6587195037475,0,75,2,36,existing,1073.0830510230976,0,84,2,36,existing,1073.0830510230976
1,1,70,3,2,existing,100.80541577472324,1,70,3,72,existing,333.23553975477813,1,70,3,2,allocated,100.80541577472324,1,82,3,46,existing,450.1336972185652,1,86,3,122,existing,503.8106055533375,1,77,3,47,existing,753.8771875170139,1,85,3,45,existing,548.5675150108643,1,54,3,293,allocated,894.0461353314826,1,78,3,301,existing,1118.4641352784708,1,79,3,301,existing,1118.4641352784708,1,83,3,277,existing,976.1154208476214,1,84,3,36,existing,1156.503960694056,1,75,3,36,existing,1156.503960694056
2,2,74,4,138,existing,478.5064119536059,2,74,4,68,allocated,570.7976870758707,2,74,4,137,allocated,419.31213218267925,2,88,4,265,existing,487.5285143969925,2,46,4,227,allocated,550.3685692450382,2,87,4,140,existing,693.4967719685193,2,25,4,124,allocated,677.749995468016,2,77,4,47,existing,1567.2550000975298,2,54,4,293,allocated,1126.5833023531786,2,80,4,179,existing,727.2593190699293,2,81,4,179,existing,727.2593190699293,2,75,4,36,existing,1610.5095839245578,2,84,4,36,existing,1610.5095839245578
3,3,66,5,165,existing,540.7923253280114,3,66,5,232,existing,466.46564963448077,3,66,5,227,allocated,413.47541321660367,3,46,5,227,allocated,413.47541321660367,3,25,5,124,allocated,540.8568394395814,3,88,5,265,existing,624.421670425427,3,87,5,140,existing,681.252791353123,3,54,5,293,allocated,1263.4764583816132,3,81,5,179,existing,864.1524750983639,3,77,5,47,existing,1704.1481561259643,3,80,5,179,existing,864.1524750983639,3,84,5,36,existing,1747.4027399529925,3,75,5,36,existing,1747.4027399529925
4,4,1,6,11,allocated,585.2705781317047,4,1,6,72,existing,597.1533602502336,4,1,6,220,allocated,495.9120405101322,4,86,6,122,existing,721.021846536192,4,76,6,67,existing,742.329476904214,4,82,6,46,existing,791.3427316842578,4,85,6,45,existing,889.7765494765572,4,83,6,277,existing,1139.7293521495467,4,75,6,36,existing,1320.1178919959814,4,54,6,293,allocated,1057.6600666334077,4,77,6,47,existing,917.4911188189393,4,78,6,301,existing,1334.0108875403243,4,84,6,36,existing,1320.1178919959814
5,5,70,7,2,existing,617.6513880189577,5,70,7,72,existing,496.2605027765408,5,70,7,231,allocated,487.70043983572066,5,86,7,122,existing,666.8355685751001,5,82,7,46,existing,690.449874210565,5,77,7,47,existing,816.5982613452464,5,85,7,45,existing,788.8836920028643,5,83,7,277,existing,1038.8364946758538,5,75,7,36,existing,1219.2250345222885,5,54,7,293,allocated,956.767209159715,5,76,7,67,existing,843.2223343779068,5,79,7,301,existing,1313.071994752772,5,84,7,36,existing,1219.2250345222885
6,6,23,8,107,allocated,170.01472059671556,6,23,8,78,existing,644.9247110777076,6,23,8,107,allocated,170.01472059671556,6,76,8,67,existing,307.29748703315926,6,86,8,122,existing,893.8422311957522,6,82,8,46,existing,1193.1252936744652,6,85,8,45,existing,1122.7718592231913,6,54,8,293,allocated,1492.6920565044625,6,77,8,47,existing,1352.523108689994,6,79,8,301,existing,1222.9221038171574,6,78,8,301,existing,1222.9221038171574,6,75,8,36,existing,1755.149881867036,6,83,8,277,existing,1574.7613420206014
7,7,23,9,107,allocated,305.7763901441999,7,23,9,78,existing,780.6863806251918,7,23,9,107,allocated,305.7763901441999,7,76,9,67,existing,443.0591565806436,7,86,9,122,existing,848.2307204917631,7,82,9,46,existing,1090.6130520078282,7,85,9,45,existing,1077.1603485192022,7,78,9,301,existing,1358.6837733646416,7,77,9,47,existing,1216.7614391425095,7,54,9,293,allocated,1356.930386956978,7,79,9,301,existing,1358.6837733646416,7,83,9,277,existing,1438.9996724731172,7,84,9,36,existing,1619.3882123195517
8,8,1,10,11,allocated,114.60480753597916,8,1,10,153,existing,86.47869783346074,8,1,10,11,allocated,114.60480753597916,8,76,10,67,existing,326.23267207346163,8,86,10,122,existing,607.4887339136527,8,78,10,301,existing,634.1355018726406,8,79,10,301,existing,634.1355018726406,8,83,10,277,existing,1478.218409466212,8,77,10,47,existing,1246.1951219755379,8,82,10,46,existing,934.8521797333909,8,85,10,45,existing,836.4183619410917,8,84,10,36,existing,1658.6069493126465,8,54,10,293,allocated,1490.004682644209
9,9,1,11,11,allocated,0.0,9,1,11,153,existing,201.0835053694399,9,1,11,11,allocated,0.0,9,76,11,67,existing,440.8374796094408,9,86,11,122,existing,603.9192963323121,9,78,11,301,existing,748.7403094086199,9,79,11,301,existing,748.7403094086199,9,54,11,293,allocated,1382.5511978433422,9,82,11,46,existing,903.2023588110252,9,85,11,45,existing,832.8489243597512,9,77,11,47,existing,1214.545301053172,9,75,11,36,existing,1626.9571283902806,9,83,11,277,existing,1446.568588543846
