,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school,assign_from_var_id_healthcare,assign_to_var_id_healthcare,assign_from_node_id_healthcare,assign_to_node_id_healthcare,assign_type_healthcare,dist_healthcare,0_assign_from_var_id_restaurant,0_assign_to_var_id_restaurant,0_assign_from_node_id_restaurant,0_assign_to_node_id_restaurant,0_assign_type_restaurant,0_dist_restaurant,1_assign_from_var_id_restaurant,1_assign_to_var_id_restaurant,1_assign_from_node_id_restaurant,1_assign_to_node_id_restaurant,1_assign_type_restaurant,1_dist_restaurant,2_assign_from_var_id_restaurant,2_assign_to_var_id_restaurant,2_assign_from_node_id_restaurant,2_assign_to_node_id_restaurant,2_assign_type_restaurant,2_dist_restaurant,3_assign_from_var_id_restaurant,3_assign_to_var_id_restaurant,3_assign_from_node_id_restaurant,3_assign_to_node_id_restaurant,3_assign_type_restaurant,3_dist_restaurant,4_assign_from_var_id_restaurant,4_assign_to_var_id_restaurant,4_assign_from_node_id_restaurant,4_assign_to_node_id_restaurant,4_assign_type_restaurant,4_dist_restaurant,5_assign_from_var_id_restaurant,5_assign_to_var_id_restaurant,5_assign_from_node_id_restaurant,5_assign_to_node_id_restaurant,5_assign_type_restaurant,5_dist_restaurant
14,14,36,50,51,existing,90.43499242060011,14,36,50,66,existing,244.28179235789548,14,36,50,150,existing,137.3075227340475,14,40,50,94,existing,17.52085051631375,14,39,50,68,existing,230.2906206282695,14,4,50,35,allocated,415.4313939044323,14,11,50,66,allocated,244.28179235789548,14,10,50,62,allocated,624.9855353071493,14,38,50,90,existing,535.8989835599574
15,15,31,53,134,existing,128.0118479189468,15,31,53,56,allocated,159.13165421029515,15,31,53,62,allocated,114.20832573831731,15,10,53,62,allocated,114.20832573831731,15,11,53,66,allocated,399.6766255142795,15,39,53,68,existing,432.3792202397829,15,4,53,35,allocated,573.0572633030833,15,38,53,90,existing,604.8612999592871,15,40,53,94,existing,626.6346134764987
16,16,31,54,134,existing,176.2963468554048,16,31,54,56,allocated,321.615277252222,16,31,54,62,allocated,67.25738150148369,16,10,54,62,allocated,67.25738150148369,16,11,54,66,allocated,447.96112445073754,16,39,54,68,existing,480.66371917624093,16,4,54,35,allocated,621.3417622395414,16,40,54,94,existing,674.9191124129567,16,38,54,90,existing,786.327007199088
17,17,8,58,58,allocated,0.0,17,8,58,153,allocated,322.3163737439254,17,8,58,58,allocated,0.0,17,10,58,62,allocated,276.57496628217615,17,4,58,35,allocated,339.65057567843274,17,40,58,94,existing,456.54334205073934,17,11,58,66,allocated,420.47141232585403,17,38,58,90,existing,940.7774455974296,17,39,58,68,existing,609.3739328498475
18,18,32,60,72,existing,144.89845612901874,18,32,60,56,allocated,129.80996347940476,18,32,60,56,allocated,129.80996347940476,18,10,60,62,allocated,197.77500841419908,18,11,60,66,allocated,417.45340848844353,18,39,60,68,existing,450.15600321394686,18,38,60,90,existing,521.2946172834053,18,4,60,35,allocated,590.8340462772474,18,40,60,94,existing,644.4113964506626
19,19,33,64,136,existing,202.32823367639867,19,33,64,66,existing,293.9449490784432,19,33,64,71,allocated,128.84917996828986,19,39,64,68,existing,196.48936053604513,19,38,64,90,existing,272.90662473999754,19,40,64,94,existing,410.76454148574874,19,11,64,66,allocated,293.9449490784432,19,4,64,35,allocated,751.7860151824201,19,10,64,62,allocated,451.5641299317991
20,20,25,67,162,allocated,153.4684509353792,20,25,67,0,allocated,200.71918352672546,20,25,67,43,allocated,125.65120957809057,20,39,67,68,existing,290.6287327240217,20,38,67,90,existing,450.02618831053746,20,11,67,66,allocated,517.3604404968593,20,40,67,94,existing,501.19438319846574,20,10,67,62,allocated,704.035070398779,20,4,67,35,allocated,892.2942401773502
21,21,33,70,136,existing,18.638129480385487,21,33,70,56,allocated,443.5713680334812,21,33,70,70,existing,0.0,21,38,70,90,existing,89.21652054398437,21,39,70,68,existing,252.17307946674825,21,11,70,66,allocated,473.94728251626964,21,40,70,94,existing,466.44826041645194,21,4,70,35,allocated,863.3716624791222,21,10,70,62,allocated,629.85310515362
22,22,34,78,77,existing,60.95947266280334,22,34,78,153,allocated,142.92579993377217,22,34,78,77,existing,60.95947266280334,22,4,78,35,allocated,160.26000186827952,22,40,78,94,existing,237.65054151983904,22,39,78,68,existing,450.93858114409437,22,11,78,66,allocated,367.9480203096893,22,38,78,90,existing,791.0703755961101,22,10,78,62,allocated,673.8792465619691
23,23,33,90,136,existing,70.57839106359889,23,33,90,56,allocated,532.7878885774655,23,33,90,140,existing,60.3915831768677,23,38,90,90,existing,0.0,23,39,90,68,existing,340.7527237189286,23,11,90,66,allocated,563.163803060254,23,40,90,94,existing,553.4198340762712,23,4,90,35,allocated,951.3303774643898,23,10,90,62,allocated,719.0696256976044
