,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school,assign_from_var_id_healthcare,assign_to_var_id_healthcare,assign_from_node_id_healthcare,assign_to_node_id_healthcare,assign_type_healthcare,dist_healthcare,0_assign_from_var_id_restaurant,0_assign_to_var_id_restaurant,0_assign_from_node_id_restaurant,0_assign_to_node_id_restaurant,0_assign_type_restaurant,0_dist_restaurant,1_assign_from_var_id_restaurant,1_assign_to_var_id_restaurant,1_assign_from_node_id_restaurant,1_assign_to_node_id_restaurant,1_assign_type_restaurant,1_dist_restaurant,2_assign_from_var_id_restaurant,2_assign_to_var_id_restaurant,2_assign_from_node_id_restaurant,2_assign_to_node_id_restaurant,2_assign_type_restaurant,2_dist_restaurant,3_assign_from_var_id_restaurant,3_assign_to_var_id_restaurant,3_assign_from_node_id_restaurant,3_assign_to_node_id_restaurant,3_assign_type_restaurant,3_dist_restaurant,4_assign_from_var_id_restaurant,4_assign_to_var_id_restaurant,4_assign_from_node_id_restaurant,4_assign_to_node_id_restaurant,4_assign_type_restaurant,4_dist_restaurant,5_assign_from_var_id_restaurant,5_assign_to_var_id_restaurant,5_assign_from_node_id_restaurant,5_assign_to_node_id_restaurant,5_assign_type_restaurant,5_dist_restaurant,6_assign_from_var_id_restaurant,6_assign_to_var_id_restaurant,6_assign_from_node_id_restaurant,6_assign_to_node_id_restaurant,6_assign_type_restaurant,6_dist_restaurant
12,12,10,30,72,allocated,394.8312568042393,12,10,30,137,existing,328.72407604169075,12,10,30,72,allocated,394.8312568042393,12,19,30,151,allocated,577.4486046738256,12,16,30,135,allocated,833.0591967186732,12,21,30,162,allocated,1098.7182083778484,12,38,30,12,existing,2032.128511156673,12,37,30,12,existing,2032.128511156673,12,39,30,171,existing,2101.102442585316,12,40,30,171,existing,2101.102442585316
13,13,36,31,20,existing,362.3439143532478,13,36,31,137,existing,188.27937708793854,13,36,31,151,allocated,437.00390572007336,13,19,31,151,allocated,437.00390572007336,13,16,31,135,allocated,692.6144977649211,13,21,31,162,allocated,958.2735094240963,13,38,31,12,existing,1891.6838122029212,13,39,31,171,existing,1960.6577436315638,13,40,31,171,existing,1960.6577436315638,13,37,31,12,existing,1891.6838122029212
14,14,36,32,20,existing,383.01817715891127,14,36,32,137,existing,208.95363989360206,14,36,32,151,allocated,457.67816852573685,14,19,32,151,allocated,457.67816852573685,14,16,32,135,allocated,713.2887605705846,14,21,32,162,allocated,978.9477722297598,14,37,32,12,existing,1912.3580750085844,14,38,32,12,existing,1912.3580750085844,14,39,32,171,existing,1981.3320064372274,14,40,32,171,existing,1981.3320064372274
15,15,33,35,38,existing,142.13722807951746,15,33,35,36,allocated,70.59804678217252,15,33,35,36,allocated,70.59804678217252,15,16,35,135,allocated,156.20512373216366,15,21,35,162,allocated,268.0930456843517,15,19,35,151,allocated,411.8157157770113,15,38,35,12,existing,1293.6797668694962,15,39,35,171,existing,1362.6536982981393,15,40,35,171,existing,1362.6536982981393,15,37,35,12,existing,1293.6797668694962
16,16,33,36,38,existing,96.98048503138543,16,33,36,36,allocated,0.0,16,33,36,36,allocated,0.0,16,16,36,135,allocated,85.60707694999114,16,21,36,162,allocated,197.4949989021792,16,19,36,151,allocated,341.21766899483885,16,38,36,12,existing,1223.081720087324,16,40,36,171,existing,1292.0556515159665,16,37,36,12,existing,1223.081720087324,16,39,36,171,existing,1292.0556515159665
17,17,33,41,38,existing,321.32536048287636,17,33,41,36,allocated,268.68997360572894,17,33,41,150,existing,92.03399547692902,17,16,41,135,allocated,183.08289665573778,17,19,41,151,allocated,251.09765603068342,17,38,41,12,existing,1376.2295398514334,17,21,41,162,allocated,448.7419083149131,17,37,41,12,existing,1376.2295398514334,17,40,41,171,existing,1445.203471280076,17,39,41,171,existing,1445.203471280076
18,18,36,42,20,existing,176.48642006683679,18,36,42,137,existing,162.4008839325003,18,36,42,151,allocated,86.3236446996345,18,19,42,151,allocated,86.3236446996345,18,16,42,135,allocated,341.9342367444822,18,21,42,162,allocated,607.5932484036574,18,38,42,12,existing,1541.0035511824822,18,40,42,171,existing,1609.9774826111252,18,37,42,12,existing,1541.0035511824822,18,39,42,171,existing,1609.9774826111252
19,19,33,43,38,existing,840.5103506995888,19,33,43,36,allocated,760.9729298611985,19,33,43,150,existing,744.8630203153893,19,21,43,162,allocated,815.2594953120231,19,16,43,135,allocated,829.1369426181946,19,19,43,151,allocated,903.9266808691438,19,37,43,12,existing,1286.3432251923032,19,38,43,12,existing,1286.3432251923032,19,40,43,171,existing,1355.317156620946,19,39,43,171,existing,1355.317156620946
20,20,33,44,38,existing,877.3189405436206,20,33,44,36,allocated,797.7815197052303,20,33,44,150,existing,781.6716101594211,20,21,44,162,allocated,852.0680851560548,20,16,44,135,allocated,865.9455324622263,20,19,44,151,allocated,940.7352707131754,20,37,44,12,existing,1323.151815036335,20,40,44,171,existing,1392.1257464649775,20,39,44,171,existing,1392.1257464649775,20,38,44,12,existing,1323.151815036335
21,21,27,45,237,allocated,282.2725134699161,21,27,45,81,existing,195.8865805709679,21,27,45,136,allocated,183.55874754074466,21,38,45,12,existing,502.8611658147975,21,37,45,12,existing,502.8611658147975,21,39,45,171,existing,571.8350972434403,21,40,45,171,existing,571.8350972434403,21,16,45,135,allocated,788.3845670295225,21,21,45,162,allocated,714.5081737182363,21,19,45,151,allocated,1043.99515907437
