,dist_grocery,dist_school,0_dist_restaurant,1_dist_restaurant,dist_healthcare
0,554.629878698989,668.9798975886247,840.4546881066937,1470.3765544512485,818.5674199196133
1,493.6301258043151,730.6540047685332,891.9139523877161,912.4323791961256,611.5597813574564
2,524.5529320935628,701.600473692277,881.5095729068778,922.8367586769639,642.4825876467041
3,651.2902200781691,548.3089256339244,968.4278483795615,1537.4794397757512,861.6814662847581
4,426.8144316223465,793.649314224442,286.5682940553802,351.7849460662956,553.5354230536196
5,508.23484586151517,673.6515030867544,406.5661051930679,471.78275720398335,673.5332341913074
6,555.0564046138884,259.1874363556987,824.6713826298767,889.8880346407921,791.898749500659
7,502.7759038358338,206.9069355776441,772.3908818518221,837.6075338627375,739.6182487226044
8,707.6658373286302,628.9463957738208,1345.2011953986676,1862.230605997013,707.6658373286302
9,826.608438167203,747.8889966123936,1464.1437962372404,1981.173206835586,826.608438167203
10,596.8933422035045,318.33521452473667,844.2693162634813,1586.787359941622,844.4644311373
11,522.1780360226957,520.3404538294992,650.2481818133306,1392.7662254914712,650.4432966871493
12,408.5365708892186,586.3557069225644,1525.9864121422183,1603.0382291941396,927.2402557031467
13,280.0722579227483,714.8200198890347,1474.5739162276693,1524.260519454451,798.7759427366764
14,458.80762570562376,419.45488682224845,1359.0855920419026,1653.3092840105448,977.5113105195519
15,463.68032146852664,531.2119563432564,1470.8426615629105,1658.1819797734477,982.3840062824547
16,620.5976191818534,454.9562462039245,1815.0992774867743,1864.785880713556,1139.3013039957814
17,494.8268112859156,580.7270540998622,1689.3284695908364,1739.0150728176181,1013.5304960998436
18,339.2958129630879,524.326663935743,339.2958129630879,856.3252235614332,1218.9238199039646
19,255.78494942622223,607.8375274726086,255.78494942622223,772.8143600245676,1135.4129563670988
20,544.20308269933,517.1997883842257,854.0475411169275,934.1126734478938,653.7585024176341
21,622.6724094583806,595.6691151432761,775.5782143578772,1012.5820002069443,732.2278291766846
22,179.24639126041194,919.1337057368982,179.24639126041194,337.7830193379334,703.8359810117154
23,329.4556982395163,768.9243987577938,329.4556982395163,487.99232631703774,824.677567241074
24,757.1651727230922,774.4827383170386,689.6611098034107,1293.3040035918646,940.7869003772043
25,666.3598841037251,683.6774496976717,598.8558211840437,1367.6980501986827,849.9816117578373
26,511.8071268951591,813.3780447753065,996.35295009839,1513.3823606967353,511.8071268951591
27,441.825857028467,743.3967749086144,926.3716802316978,1443.4010908300434,441.825857028467
28,648.9036058864691,818.2263272975484,1583.3078236454853,1649.4339396586408,717.891859047021
29,585.8056640392385,864.3637917180064,1586.3359978114104,1646.405765492716,654.7939171997904
30,76.74638736764547,191.0964062572811,667.2268770125193,992.493063119905,445.910858893703
31,468.9053531150141,571.6725826940092,867.1891796984152,946.7885549778273,586.8350086681554
32,520.3240742076968,581.3524290519181,918.2001817846199,918.6079007910978,638.253729760838
33,805.6727968987329,615.5739269839814,867.5678853313447,1179.349660100985,1084.530525331605
34,739.003520613337,548.9046506985854,934.2371616167408,1112.6803838155888,1017.861249046209
35,920.3616849368613,1198.919812615629,1644.6254783159782,1920.892018709033,989.3499380974131
36,826.6839579320241,1105.242085610792,1719.0520880971399,1827.2142917041958,895.6722110925759
37,140.83983351747494,137.71829416129285,1249.5951640565495,1636.3239684553068,567.975425384385
38,315.6017973269984,312.4802579708163,1074.833200247026,1811.0859322648305,742.7373891939085
39,802.9590825231871,775.9557882080828,595.2915412930705,1192.868673271751,912.5145022414912
40,665.7475612458085,450.7932983785919,1167.0480980034388,1684.0775086017843,665.7475612458085
41,598.7285888358803,520.0091472810709,1236.2639469059177,1753.2933575042632,598.7285888358803
42,648.5373823087704,468.00347731563,1184.258276940477,1701.2876875388224,648.5373823087704
