,dist_grocery,dist_school,dist_healthcare,0_dist_restaurant,1_dist_restaurant
0,774.1531632099952,329.96926744259144,774.1531632099952,749.5152811160201,774.1531632099952
1,665.3346508604185,441.0222238713926,665.3346508604185,638.4623246872189,665.3346508604185
2,587.626207266401,256.516117218503,587.626207266401,587.626207266401,587.626207266401
3,531.2831395840765,312.85918490082753,531.2831395840765,531.2831395840765,531.2831395840765
4,266.210334520228,87.85301919854606,266.210334520228,266.210334520228,293.08266069342756
5,212.93832831659384,300.6570752479669,212.93832831659384,212.93832831659384,239.81065448979342
6,358.8520668621476,380.8958604674067,358.8520668621476,159.79740973931428,358.8520668621476
7,549.4300680196553,322.9440316923947,549.4300680196553,549.4300680196553,549.4300680196553
8,438.6791246059352,309.00646722248865,438.6791246059352,411.8067984327356,438.6791246059352
9,471.50341890087185,339.2018359218866,471.50341890087185,471.50341890087185,478.97507981943016
10,424.4446017791971,292.14301880021185,424.4446017791971,424.4446017791971,431.9162626977554
11,376.0280494447619,243.72646646577664,376.0280494447619,376.0280494447619,383.49971036332016
12,1104.287948171775,975.3849454925844,1104.287948171775,787.9960772192843,1104.287948171775
13,1075.429691073536,980.236270849138,1075.429691073536,759.1378201210455,1075.429691073536
14,622.1563662124414,466.548617242893,622.1563662124414,423.10170908960816,622.1563662124414
15,573.4851281033584,511.74961355922085,573.4851281033584,374.4304709805252,573.4851281033584
16,517.9085487826449,456.17303423850717,517.9085487826449,318.85389165981155,517.9085487826449
17,620.759056382018,559.0235418378803,620.759056382018,421.7043992591847,620.759056382018
18,821.0390640597004,252.46355457784125,821.0390640597004,637.1867717546598,821.0390640597004
19,739.53851268168,170.96300319982083,739.53851268168,718.6873231326803,739.53851268168
20,19.509726438250734,630.5422724770955,19.509726438250734,19.509726438250734,19.509726438250734
21,210.5077893561151,435.98706861707404,210.5077893561151,210.5077893561151,210.5077893561151
22,192.16947420921667,449.20012752483103,192.16947420921667,192.16947420921667,192.16947420921667
23,699.832165719789,463.1576399549406,78.25941463058211,808.1868494516751,808.1868494516751
24,470.2151477455594,395.98256696677026,391.20120608487684,495.2450579973804,495.2450579973804
25,543.075798279498,413.4031408960515,543.075798279498,516.2034721062985,543.075798279498
26,456.9309040580696,395.19538951393196,456.9309040580696,257.87624693523634,456.9309040580696
27,590.4205470465787,243.51882246979937,590.4205470465787,590.4205470465787,590.4205470465787
28,149.23362463208906,722.0088156623756,149.23362463208906,149.23362463208906,149.23362463208906
29,217.68141520071634,653.5610250937482,217.68141520071634,217.68141520071634,217.68141520071634
30,399.18388129159854,472.0585590028661,399.18388129159854,399.18388129159854,399.18388129159854
31,996.4467100285289,759.7721842636804,374.87395893932194,1148.7274839217196,1148.7274839217196
32,857.564059692761,620.8895339279126,235.99130860355407,1009.8448335859518,1009.8448335859518
33,403.4473649887878,461.0305513382865,403.4473649887878,403.4473649887878,403.4473649887878
34,595.5994545511488,625.5261260838851,595.5994545511488,595.5994545511488,595.5994545511488
35,490.8521305079146,520.7788020406508,490.8521305079146,490.8521305079146,490.8521305079146
36,1046.31951975584,674.0844567879926,1046.31951975584,730.0276488033494,1046.31951975584
37,1121.4599571607641,749.2248941929165,1121.4599571607641,805.1680862082735,1121.4599571607641
38,495.37064823203787,584.5216734950181,495.37064823203787,468.49832205883826,495.37064823203787
39,445.6181379237153,534.7691631866957,445.6181379237153,418.7458117505157,445.6181379237153
40,975.2713671323868,603.0363041645393,975.2713671323868,658.9794961798962,975.2713671323868
41,922.1853664647247,549.950303496877,922.1853664647247,605.893495512234,922.1853664647247
42,390.81238081253593,627.4869065773844,1012.3851319017429,1356.2725865554758,1356.2725865554758
43,505.81401617827305,742.4885419431215,1127.38676726748,1471.2742219212128,1471.2742219212128
44,496.42793493331686,364.1263519543316,496.42793493331686,496.42793493331686,503.8995958518752
45,315.8772242568534,183.57564127786816,315.8772242568534,315.8772242568534,342.749550430053
46,444.77564734014027,294.972279989414,444.77564734014027,73.87382926132152,444.77564734014027
47,869.1944386778438,519.8600716247271,869.1944386778438,869.1944386778438,869.1944386778438
48,921.7771914962108,572.442824443094,921.7771914962108,921.7771914962108,921.7771914962108
49,727.0115490035719,103.00228249981161,727.0115490035719,727.0115490035719,727.0115490035719
50,655.9059105733286,436.45710787248487,655.9059105733286,629.033584400129,655.9059105733286
51,829.7011094392572,457.4660464714096,829.7011094392572,513.4092384867665,829.7011094392572
52,204.32104364962868,670.1208191351025,204.32104364962868,204.32104364962868,289.8054619408107
53,324.6296222532909,329.2837261238302,353.43227887664614,324.6296222532909,324.6296222532909
54,496.87501997456843,169.79176772718992,525.6776765979237,496.87501997456843,496.87501997456843
55,244.5945237887439,433.02748455872745,244.5945237887439,244.5945237887439,244.5945237887439
56,227.41591100176947,435.9871655308517,227.41591100176947,227.41591100176947,227.41591100176947
57,415.1613153386343,282.85973235964906,415.1613153386343,415.1613153386343,422.6329762571926
58,518.320212442381,138.91419679845896,518.320212442381,518.320212442381,518.320212442381
59,587.496685273047,208.09066962912485,587.496685273047,587.496685273047,587.496685273047
60,385.7823337215222,255.58726801252556,385.7823337215222,385.7823337215222,385.7823337215222
61,511.5161433955302,155.15064430622812,534.5566599501502,511.5161433955302,511.5161433955302
62,549.64080665301,193.27530756370788,572.6813232076299,549.64080665301,549.64080665301
63,541.7813966599372,305.10687089508883,266.7478642843712,1153.1941283666283,1153.1941283666283
64,535.150543243273,298.4760174784245,86.42220784593398,972.8684719281912,972.8684719281912
65,671.084674133595,47.07540762983474,671.084674133595,671.084674133595,671.084674133595
66,199.43111079912705,823.4403773028873,199.43111079912705,199.43111079912705,199.43111079912705
67,518.6494766014619,221.09845072809247,518.6494766014619,0.0,518.6494766014619
68,426.4103076001926,352.1777268214033,435.0060462302438,539.0498981427473,539.0498981427473
69,334.84935062308114,398.822776552629,526.5670032073551,630.6108551198587,630.6108551198587
70,667.1480605226267,799.449643501612,667.1480605226267,532.3769903036083,640.2757343494271
71,919.274587976067,709.3240194604356,919.274587976067,778.9272657384522,892.4022618028674
72,248.04612651572506,405.867221861396,430.0157746142119,248.04612651572506,248.04612651572506
73,331.42212352949855,489.2432188751694,513.3917716279855,331.42212352949855,331.42212352949855
74,130.23034108148912,262.53192406047435,130.23034108148912,130.23034108148912,157.1026672546887
75,421.77913953175005,693.1977709344245,686.800089302071,421.77913953175005,421.77913953175005
76,377.13526477877815,648.5538961814525,642.156214549099,377.13526477877815,377.13526477877815
77,308.3719011130467,345.2779546955067,336.8851378776129,308.3719011130467,308.3719011130467
78,0.0,624.0092665037603,0.0,0.0,0.0
79,967.9268290125173,760.5668900300786,967.9268290125173,967.9268290125173,967.9268290125173
80,834.829167557903,627.4692285754644,834.829167557903,834.829167557903,834.829167557903
81,378.60603904367156,599.0485495033607,643.6269888139925,378.60603904367156,378.60603904367156
82,344.6153117538638,616.0339431565382,609.6362615241846,344.6153117538638,344.6153117538638
83,214.16299825552966,81.8614152765444,214.16299825552966,214.16299825552966,241.03532442872927
84,439.06739999929334,295.66880106198687,491.51497198966024,595.5588239021638,595.5588239021638
85,348.34058680241577,111.66606103756733,366.2343938785313,1002.8936860017179,1002.8936860017179
86,363.67893636763483,127.00441060278635,257.89381472157214,1018.2320355669369,1018.2320355669369
87,504.65677695030524,409.46335672590715,504.65677695030524,188.36490599781467,504.65677695030524
88,200.02275742380152,453.89059095331953,465.04370719412236,200.02275742380152,200.02275742380152
89,354.06335371877407,0.0,354.06335371877407,221.09845072809247,354.06335371877407
90,125.38278164434641,111.29174412050202,496.1899694448605,909.2434422571107,909.2434422571107
91,236.67452576484845,0.0,384.89822532435846,891.2276249641507,891.2276249641507
92,512.9948941870051,276.3203684221568,530.8887012631208,1167.5479933863073,1167.5479933863073
93,301.8394720065457,65.16494624169727,319.7332790826612,956.3925712058478,956.3925712058478
94,465.62397803862666,737.042609441301,730.6449278089475,465.62397803862666,465.62397803862666
95,560.2453508787693,831.6639822814436,825.2663006490902,560.2453508787693,560.2453508787693
96,86.3505499176503,150.32397584719814,535.2222011715567,879.1096558252895,879.1096558252895
97,333.934374873397,204.26171748995048,333.934374873397,307.0620487001974,333.934374873397
98,260.6394651906741,130.9668078072276,260.6394651906741,233.76713901747453,260.6394651906741
99,621.5727510892069,384.89822532435846,0.0,886.4462640822572,886.4462640822572
100,429.9559015672772,461.27172339687354,456.49036251498006,429.9559015672772,429.9559015672772
