,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_restaurant,assign_to_var_id_restaurant,assign_from_node_id_restaurant,assign_to_node_id_restaurant,assign_type_restaurant,dist_restaurant,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school
0,0,92,22,124,existing,58.691359995527684,0,92,22,94,existing,410.85907152520286,0,92,22,81,existing,384.1011734318715
1,1,92,23,124,existing,280.93748840656406,1,92,23,195,existing,310.34384712709203,1,92,23,540,existing,199.92861257906543
2,2,92,27,124,existing,693.1846898917383,2,92,27,94,existing,708.9049861558025,2,92,27,231,existing,570.2590036638021
3,3,92,28,124,existing,674.3875802546953,3,92,28,94,existing,690.1078765187594,3,92,28,231,existing,589.0561133008453
4,4,90,29,379,existing,616.3801430380493,4,90,29,379,existing,616.3801430380493,4,90,29,477,allocated,409.25958682914586
5,5,90,30,379,existing,532.3067279888535,5,90,30,379,existing,532.3067279888535,5,90,30,477,allocated,325.18617177995003
6,6,92,32,124,existing,1058.9611745927282,6,92,32,94,existing,1074.6814708567924,6,92,32,231,existing,94.36311018125447
7,7,89,34,284,existing,97.79513810479105,7,89,34,71,existing,245.68511789017148,7,89,34,283,existing,857.96144915261
8,8,92,38,124,existing,661.6136783737951,8,92,38,94,existing,677.3339746378592,8,92,38,231,existing,601.8300151817455
9,9,74,39,478,allocated,287.58880686556046,9,74,39,20,allocated,758.2453072082585,9,74,39,320,existing,203.9211493062041
10,10,74,40,478,allocated,355.9693462378401,10,74,40,20,allocated,826.6258465805381,10,74,40,320,existing,272.30168867848374
11,11,87,41,457,existing,796.9782743143141,11,87,41,457,existing,796.9782743143141,11,87,41,208,existing,446.56686478085004
12,12,88,42,285,existing,694.99352082578,12,88,42,285,existing,694.99352082578,12,88,42,283,existing,400.8508688876693
13,13,74,43,478,allocated,307.46645146255247,13,74,43,20,allocated,663.6370686047954,13,74,43,320,existing,403.42346611124447
14,14,74,44,478,allocated,161.68987786132826,14,74,44,20,allocated,517.8604950035713,14,74,44,320,existing,257.6468925100202
15,15,74,45,478,allocated,333.09602788079627,15,74,45,20,allocated,689.2666450230392,15,74,45,320,existing,429.05304252948827
16,16,92,46,124,existing,681.9430783162936,16,92,46,20,allocated,656.8601928654218,16,92,46,81,existing,253.45640015184745
17,17,92,47,124,existing,702.6755877197543,17,92,47,20,allocated,677.5927022688825,17,92,47,81,existing,274.1889095553081
18,18,74,48,478,allocated,782.1715723070012,18,74,48,20,allocated,1252.8280726496992,18,74,48,320,existing,698.5039147476448
19,19,74,49,478,allocated,580.0352496114656,19,74,49,20,allocated,1050.6917499541637,19,74,49,320,existing,496.3675920521092
20,20,74,50,478,allocated,654.2703848503971,20,74,50,20,allocated,1105.7182949876471,20,74,50,320,existing,558.3133702017052
21,21,74,51,478,allocated,344.3936524447501,21,74,51,20,allocated,795.841562582,21,74,51,320,existing,248.4366377960581
22,22,92,53,124,existing,686.6389315576985,22,92,53,20,allocated,813.9504532927364,22,92,53,231,existing,591.3200119818125
23,23,74,54,478,allocated,676.0082156445732,23,74,54,20,allocated,693.4106250156249,23,74,54,81,existing,555.5787478841216
24,24,74,55,478,allocated,642.1100197759317,24,74,55,20,allocated,924.1066893837802,24,74,55,320,existing,546.1530051272398
25,25,89,56,284,existing,107.58522861699956,25,89,56,71,existing,154.9114690390642,25,89,56,208,existing,829.7482182002348
26,26,89,57,284,existing,210.72969165282788,26,89,57,71,existing,258.05593207489255,26,89,57,208,existing,932.892681236063
27,27,92,58,124,existing,421.7245298349776,27,92,58,195,existing,466.4039470738918,27,92,58,540,existing,43.86851263226565
28,28,87,59,457,existing,259.9926809504942,28,87,59,457,existing,259.9926809504942,28,87,59,208,existing,610.4040904839584
29,29,89,60,284,existing,305.8604667665633,29,89,60,71,existing,353.18670718862796,29,89,60,208,existing,829.0916258895991
30,30,87,61,457,existing,155.88533363466314,30,87,61,457,existing,155.88533363466314,30,87,61,208,existing,506.2967431681273
31,31,92,62,124,existing,675.1763376545958,31,92,62,94,existing,690.8966339186601,31,92,62,231,existing,289.4217267568779
32,32,92,63,124,existing,582.4482729518362,32,92,63,94,existing,598.1685692159003,32,92,63,231,existing,382.1497914596376
33,33,92,64,124,existing,525.8041244275242,33,92,64,94,existing,541.5244206915885,33,92,64,231,existing,438.7939399839495
34,34,92,65,124,existing,461.3584606928926,34,92,65,94,existing,477.07875695695685,34,92,65,231,existing,503.2396037185811
35,35,85,66,348,existing,686.416422990587,35,85,66,491,existing,693.6051539784924,35,85,66,208,existing,1161.2313754759803
36,36,85,67,348,existing,824.9981470795234,36,85,67,491,existing,832.1868780674288,36,85,67,208,existing,1299.8130995649167
37,37,85,68,348,existing,824.3194149280523,37,85,68,491,existing,831.5081459159577,37,85,68,208,existing,1299.1343674134455
38,38,87,69,457,existing,698.687842782025,38,87,69,457,existing,698.687842782025,38,87,69,208,existing,348.2764332485608
39,39,87,70,457,existing,597.726819818701,39,87,70,457,existing,597.726819818701,39,87,70,208,existing,247.3154102852368
40,40,89,71,284,existing,147.88997978538043,40,89,71,71,existing,0.0,40,89,71,283,existing,759.9966273202431
41,41,89,72,284,existing,50.281869681657895,41,89,72,71,existing,97.60811010372255,41,89,72,283,existing,810.4481807294769
42,42,74,73,478,allocated,577.3582009000693,42,74,73,20,allocated,423.9710424927122,42,74,73,81,existing,315.0837125905953
43,43,92,74,124,existing,633.8787912233904,43,92,74,20,allocated,480.5212038362113,43,92,74,81,existing,258.5335512470962
44,44,92,75,124,existing,444.0993400352178,44,92,75,20,allocated,566.3943482832601,44,92,75,81,existing,191.7082714912647
45,45,92,76,124,existing,347.5918009856761,45,92,76,20,allocated,662.9018873328018,45,92,76,81,existing,95.20073244172303
46,46,92,77,124,existing,531.8244587509932,46,92,77,195,existing,667.4579419105877,46,92,77,81,existing,89.03192532359404
47,47,92,78,124,existing,571.280581857327,47,92,78,195,existing,628.001818804254,47,92,78,540,existing,127.45776648274992
48,48,91,80,263,existing,678.1293306267467,48,91,80,71,existing,801.0464290445215,48,91,80,283,existing,519.6744732968273
49,49,92,81,124,existing,442.7925334273991,49,92,81,20,allocated,739.0547550833076,49,92,81,81,existing,0.0
50,50,87,82,457,existing,497.65738644230765,50,87,82,457,existing,497.65738644230765,50,87,82,208,existing,147.24597690884352
51,51,92,83,124,existing,331.95242673532346,51,92,83,94,existing,347.6727229993877,51,92,83,231,existing,632.6456376761503
52,52,81,84,94,existing,148.77478910641395,52,81,84,94,existing,148.77478910641395,52,81,84,355,existing,824.2215188853545
53,53,74,85,478,allocated,502.00827810669375,53,74,85,20,allocated,972.6647784493919,53,74,85,320,existing,418.3406205473374
54,54,90,86,379,existing,650.556395981776,54,90,86,379,existing,650.556395981776,54,90,86,477,allocated,438.83067769249874
