,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_restaurant,assign_to_var_id_restaurant,assign_from_node_id_restaurant,assign_to_node_id_restaurant,assign_type_restaurant,dist_restaurant,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school
49,49,31,156,134,existing,17.992065779791385,49,31,156,62,allocated,127.03103113371252,49,31,156,185,allocated,93.72627130223363
50,50,32,159,72,existing,95.02554416879218,50,32,159,56,allocated,132.31167415175275,50,32,159,185,allocated,218.00158829282879
51,51,4,160,35,allocated,115.11423774546192,51,4,160,153,allocated,132.44843967996928,51,4,160,160,allocated,0.0
52,52,4,161,35,allocated,143.91035028143583,52,4,161,153,allocated,161.2445522159432,52,4,161,160,allocated,28.796112535973908
53,53,5,162,43,allocated,31.027738270034614,53,5,162,141,allocated,15.231856323585363,53,5,162,162,allocated,0.0
54,54,34,183,77,existing,146.80011428249492,54,34,183,81,allocated,109.19388085782577,54,34,183,49,allocated,230.97756318073587
55,55,31,185,134,existing,75.73420552244224,55,31,185,62,allocated,140.86366126499118,55,31,185,185,allocated,0.0
56,56,32,187,72,existing,118.20137608754334,56,32,187,56,allocated,155.4875060705039,56,32,187,185,allocated,194.82575637407763
57,57,31,188,134,existing,145.48525852076446,57,31,188,62,allocated,125.76458293882975,57,31,188,185,allocated,177.3099544318345
58,58,35,192,74,existing,125.65420953878734,58,35,192,56,allocated,29.007015100004587,58,35,192,185,allocated,353.89236654162187
59,59,30,194,194,allocated,0.0,59,30,194,3,allocated,193.01375464927116,59,30,194,59,allocated,232.71108551357662
