,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_restaurant,assign_to_var_id_restaurant,assign_from_node_id_restaurant,assign_to_node_id_restaurant,assign_type_restaurant,dist_restaurant,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school
0,0,91,0,276,existing,964.446411511515,0,91,0,320,allocated,335.24323403725333,0,91,0,248,allocated,535.1383322820807
1,1,92,1,276,existing,879.811141284705,1,92,1,320,allocated,419.8785042640633,1,92,1,248,allocated,450.50306205527073
2,2,44,3,215,allocated,401.01321433241,2,44,3,150,allocated,379.66354301308314,2,44,3,375,existing,361.36511552354403
3,3,0,4,5,allocated,70.87294681792903,3,0,4,394,existing,610.8061061716555,3,0,4,44,existing,435.262032402258
4,4,0,5,5,allocated,0.0,4,0,5,394,existing,681.6790529895845,4,0,5,44,existing,434.7414765164995
5,5,0,6,5,allocated,132.56911353206496,5,0,6,273,existing,574.8045864289983,5,0,6,44,existing,396.189845778524
6,6,0,8,5,allocated,135.44262470752312,6,0,8,273,existing,605.6830660348891,6,0,8,44,existing,365.31136617263326
7,7,0,9,5,allocated,225.6700307785605,7,0,9,273,existing,653.4990295434469,7,0,9,44,existing,275.0839601015959
8,8,0,13,5,allocated,389.36015691330226,8,0,13,273,existing,572.6214429885744,8,0,13,155,existing,593.4230149162048
9,9,89,14,273,existing,633.4634681509439,9,89,14,320,allocated,404.7317834726291,9,89,14,219,existing,487.3614552561488
10,10,90,15,273,existing,679.9513553000365,10,90,15,320,allocated,358.2438963235363,10,90,15,219,existing,533.8493424052416
11,11,0,18,5,allocated,503.60025128851805,11,0,18,394,existing,837.3774008655644,11,0,18,44,existing,436.4540510671161
12,12,0,19,5,allocated,455.0781821470048,12,0,19,394,existing,788.8553317240511,12,0,19,44,existing,387.9319819256028
13,13,0,20,5,allocated,325.4401701372427,13,0,20,273,existing,553.7288901847646,13,0,20,44,existing,350.1535517282134
14,14,90,22,273,existing,341.5204651293925,14,90,22,273,existing,341.5204651293925,14,90,22,90,existing,485.9584790787312
15,15,89,24,273,existing,334.73040544950084,15,89,24,273,existing,334.73040544950084,15,89,24,375,existing,233.45347299994125
16,16,44,25,215,allocated,433.6656508065427,16,44,25,150,allocated,412.3159794872159,16,44,25,215,existing,433.6656508065427
17,17,44,26,215,allocated,503.06922827047606,17,44,26,150,allocated,481.71955695114923,17,44,26,215,existing,503.06922827047606
18,18,44,27,215,allocated,238.0419380257714,18,44,27,150,allocated,99.06717375607471,18,44,27,149,existing,182.29660574215413
19,19,44,28,215,allocated,171.31164551529665,19,44,28,150,allocated,165.7974662665495,19,44,28,215,existing,171.31164551529665
20,20,44,29,215,allocated,377.61679061821997,20,44,29,150,allocated,714.7259024000662,20,44,29,215,existing,377.61679061821997
21,21,44,30,215,allocated,512.2084662889821,21,44,30,150,allocated,818.8368143824276,21,44,30,100,allocated,340.6751023187452
22,22,88,31,34,existing,402.37202210404047,22,88,31,150,allocated,577.7546392851914,22,88,31,149,existing,660.9840712712708
23,23,92,35,276,existing,598.8705347581498,23,92,35,150,allocated,477.61941150662335,23,92,35,248,allocated,169.56245552871556
24,24,91,36,276,existing,701.4053106404859,24,91,36,150,allocated,580.1541873889594,24,91,36,248,allocated,272.09723141105167
25,25,44,37,215,allocated,772.6002565202847,25,44,37,150,allocated,833.0982190913309,25,44,37,100,allocated,321.99494940659594
26,26,44,39,215,allocated,612.896603642851,26,44,39,150,allocated,591.5469323235243,26,44,39,375,existing,329.1456496508129
27,27,44,40,215,allocated,538.8647971129956,27,44,40,150,allocated,517.5151257936686,27,44,40,375,existing,255.11384312095743
28,28,44,42,215,allocated,542.3597805702036,28,44,42,150,allocated,521.0101092508768,28,44,42,375,existing,220.0185492857504
29,29,44,43,215,allocated,731.2570786714009,29,44,43,150,allocated,709.907407352074,29,44,43,375,existing,408.9158473869476
30,30,0,44,5,allocated,434.7414765164995,30,0,44,273,existing,704.874549589312,30,0,44,44,existing,0.0
31,31,0,45,5,allocated,504.8539014285336,31,0,45,273,existing,634.7621246772779,31,0,45,44,existing,70.11242491203409
32,32,88,46,34,existing,876.6939536437342,32,88,46,47,existing,65.65694845106405,32,88,46,248,allocated,1429.1430622335504
33,33,88,47,34,existing,811.03700519267,33,88,47,47,existing,0.0,33,88,47,248,allocated,1363.4861137824862
34,34,44,53,215,allocated,261.1981047465419,34,44,53,150,allocated,598.3072165283882,34,44,53,215,existing,261.1981047465419
35,35,89,55,273,existing,468.38440469786315,35,89,55,273,existing,468.38440469786315,35,89,55,90,existing,226.53074985435714
36,36,0,56,5,allocated,373.0552456279048,36,0,56,394,existing,706.8323952049511,36,0,56,44,existing,305.90904540650286
37,37,90,58,273,existing,960.2128148135234,37,90,58,320,allocated,77.9824368100495,37,90,58,155,existing,589.1769154359732
38,38,0,59,5,allocated,232.90721360771272,38,0,59,394,existing,448.77183938187176,38,0,59,44,existing,417.1240058406304
39,39,0,60,5,allocated,140.53357212418837,39,0,60,394,existing,541.1454808653962,39,0,60,44,existing,504.92265770851736
40,40,91,61,276,existing,935.6663460538326,40,91,61,320,allocated,572.8058201450683,40,91,61,248,allocated,488.97531362065405
41,41,91,62,276,existing,862.1168741423747,41,91,62,320,allocated,646.3552920565262,41,91,62,248,allocated,415.42584170919616
42,42,0,63,5,allocated,457.35585173354923,42,0,63,394,existing,791.1330013105955,42,0,63,44,existing,390.2096515121473
43,43,44,67,215,allocated,652.5877244758219,43,44,67,150,allocated,559.1684939051393,43,44,67,375,existing,368.83677048378377
44,44,90,68,273,existing,583.3978683116522,44,90,68,320,allocated,454.7973833119206,44,90,68,219,existing,437.2958554168573
45,45,91,69,276,existing,826.6216739050712,45,91,69,320,allocated,473.0679716436971,45,91,69,248,allocated,397.3135946756369
46,46,89,71,273,existing,550.5540775812879,46,89,71,273,existing,550.5540775812879,46,89,71,248,allocated,397.77388997551355
