,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_restaurant,assign_to_var_id_restaurant,assign_from_node_id_restaurant,assign_to_node_id_restaurant,assign_type_restaurant,dist_restaurant,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school
0,0,59,0,126,existing,774.1531632099952,0,59,0,323,existing,749.5152811160201,0,59,0,95,existing,329.96926744259144
1,1,55,1,193,existing,665.3346508604185,1,55,1,323,existing,638.4623246872189,1,55,1,95,existing,441.0222238713926
2,2,59,2,126,existing,587.626207266401,2,59,2,300,allocated,161.923657354685,2,59,2,180,existing,256.516117218503
3,3,58,3,126,existing,531.2831395840765,3,58,3,300,allocated,218.26672503700954,3,58,3,180,existing,312.85918490082753
4,4,56,4,193,existing,266.210334520228,4,56,4,193,existing,266.210334520228,4,56,4,144,existing,87.85301919854606
5,5,57,5,193,existing,212.93832831659384,5,57,5,193,existing,212.93832831659384,5,57,5,144,existing,300.6570752479669
6,6,18,6,98,allocated,159.79740973931428,6,18,6,193,existing,358.8520668621476,6,18,6,144,existing,380.8958604674067
7,7,59,11,126,existing,549.4300680196553,7,59,11,126,existing,549.4300680196553,7,59,11,95,existing,322.9440316923947
8,8,57,12,193,existing,438.6791246059352,8,57,12,323,existing,411.8067984327356,8,57,12,252,existing,309.00646722248865
9,9,57,13,193,existing,471.50341890087185,9,57,13,193,existing,471.50341890087185,9,57,13,252,existing,339.2018359218866
10,10,55,14,193,existing,424.4446017791971,10,55,14,193,existing,424.4446017791971,10,55,14,252,existing,292.14301880021185
11,11,57,15,193,existing,376.0280494447619,11,57,15,193,existing,376.0280494447619,11,57,15,252,existing,243.72646646577664
12,12,18,16,98,allocated,787.9960772192843,12,18,16,193,existing,1104.287948171775,12,18,16,209,allocated,975.3849454925844
13,13,18,17,98,allocated,759.1378201210455,13,18,17,193,existing,1075.429691073536,13,18,17,144,existing,980.236270849138
14,14,18,18,98,allocated,423.10170908960816,14,18,18,193,existing,622.1563662124414,14,18,18,209,allocated,466.548617242893
15,15,18,19,98,allocated,374.4304709805252,15,18,19,193,existing,573.4851281033584,15,18,19,209,allocated,511.74961355922085
16,16,18,20,98,allocated,318.85389165981155,16,18,20,193,existing,517.9085487826449,16,18,20,209,allocated,456.17303423850717
17,17,18,21,98,allocated,421.7043992591847,17,18,21,193,existing,620.759056382018,17,18,21,209,allocated,559.0235418378803
18,18,18,22,98,allocated,637.1867717546598,18,18,22,193,existing,821.0390640597004,18,18,22,209,allocated,252.46355457784125
19,19,18,23,98,allocated,718.6873231326803,19,18,23,193,existing,739.53851268168,19,18,23,209,allocated,170.96300319982083
20,20,61,24,26,existing,19.509726438250734,20,61,24,26,existing,19.509726438250734,20,61,24,282,allocated,386.338942914118
21,21,61,25,26,existing,210.5077893561151,21,61,25,26,existing,210.5077893561151,21,61,25,282,allocated,371.83541324812285
22,22,61,27,26,existing,192.16947420921667,22,61,27,26,existing,192.16947420921667,22,61,27,282,allocated,353.4970981012244
23,23,27,28,161,allocated,699.832165719789,23,27,28,166,allocated,78.25941463058211,23,27,28,147,existing,463.1576399549406
24,24,27,29,161,allocated,470.2151477455594,24,27,29,166,allocated,391.20120608487684,24,27,29,147,existing,395.98256696677026
25,25,57,30,193,existing,543.075798279498,25,57,30,323,existing,516.2034721062985,25,57,30,252,existing,413.4031408960515
